ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,1824083,3029046,535918,2024-02-25T09:29:38Z
2024-02-25 17:00:15,1832378,3043395,538447,2024-02-25T10:05:51Z
2024-02-25 18:00:15,1835723,3049148,539740,2024-02-25T11:05:26Z
2024-02-25 19:00:15,1836847,3051550,540052,2024-02-25T12:07:23Z
2024-02-25 20:00:16,1837290,3052519,540085,2024-02-25T13:05:58Z
2024-02-25 21:00:15,1844102,3064042,542223,2024-02-25T14:05:50Z
2024-02-25 22:00:15,1844435,3064733,542177,2024-02-25T15:05:30Z
2024-02-25 23:00:15,1843903,3064857,542206,2024-02-25T16:06:34Z
2024-02-26 00:00:15,1844176,3065269,542344,2024-02-25T17:05:52Z
2024-02-26 01:00:15,1845012,3066874,542570,2024-02-25T18:05:47Z
2024-02-26 02:00:15,1845063,3067047,542581,2024-02-25T19:05:50Z
2024-02-26 03:00:15,1844987,3066913,542588,2024-02-25T20:05:34Z
2024-02-26 04:00:15,1844987,3066913,542588,2024-02-25T21:05:35Z
2024-02-26 05:00:15,1844987,3066913,542588,2024-02-25T22:05:44Z
2024-02-26 06:00:15,1844846,3066608,542564,2024-02-25T23:05:52Z
2024-02-26 07:00:16,1844846,3066608,542564,2024-02-26T00:21:11Z
2024-02-26 08:00:15,1844846,3066608,542564,2024-02-26T01:27:16Z
2024-02-26 09:00:15,1845539,3067578,542689,2024-02-26T02:12:19Z
2024-02-26 10:00:15,1846091,3068919,542907,2024-02-26T03:06:26Z
2024-02-26 11:00:16,1850709,3077417,544307,2024-02-26T04:06:03Z
2024-02-26 12:00:15,1859309,3091992,546302,2024-02-26T05:06:08Z
2024-02-26 13:00:15,1859285,3091964,546296,2024-02-26T06:06:48Z
2024-02-26 14:00:15,1858836,3091433,546203,2024-02-26T07:06:18Z
2024-02-26 15:00:15,1858683,3091783,546157,2024-02-26T08:06:49Z
2024-02-26 16:00:15,1858797,3091543,545871,2024-02-26T09:06:01Z
2024-02-26 17:00:20,1860111,3093284,546200,2024-02-26T10:06:11Z
2024-02-26 18:00:15,1862240,3097329,546630,2024-02-26T11:05:35Z
2024-02-26 19:00:15,1863330,3099511,547063,2024-02-26T12:07:54Z
2024-02-26 20:00:15,1863272,3099583,547070,2024-02-26T13:05:51Z
2024-02-26 21:00:15,1863636,3100671,546998,2024-02-26T14:06:04Z
2024-02-26 22:00:15,1865822,3104877,547602,2024-02-26T15:06:08Z
2024-02-26 23:00:16,1865845,3104857,547550,2024-02-26T16:06:24Z
2024-02-27 00:00:15,1865143,3104089,547365,2024-02-26T17:05:57Z
2024-02-27 01:00:16,1865337,3104537,547557,2024-02-26T18:06:13Z
2024-02-27 02:00:15,1865265,3104397,547543,2024-02-26T19:05:55Z
2024-02-27 03:00:15,1865600,3104812,547602,2024-02-26T20:06:02Z
2024-02-27 04:00:15,1865532,3104791,547598,2024-02-26T21:06:03Z
2024-02-27 05:00:16,1865532,3104791,547598,2024-02-26T22:06:49Z
2024-02-27 06:00:15,1865532,3104791,547598,2024-02-26T23:06:09Z
2024-02-27 07:00:15,1865532,3104791,547598,2024-02-27T00:20:12Z
2024-02-27 08:00:15,1865532,3104791,547598,2024-02-27T01:25:16Z
2024-02-27 09:00:15,1865616,3104893,547629,2024-02-27T02:09:55Z
2024-02-27 10:00:16,1865099,3104509,547503,2024-02-27T03:05:50Z
2024-02-27 11:00:16,1864566,3104115,547407,2024-02-27T04:06:44Z
2024-02-27 12:00:15,1865303,3103821,547406,2024-02-27T05:06:51Z
2024-02-27 13:00:15,1865436,3104102,547570,2024-02-27T06:06:32Z
2024-02-27 14:00:15,1865652,3104618,547615,2024-02-27T07:06:22Z
2024-02-27 15:00:15,1865423,3105486,547870,2024-02-27T08:06:31Z
2024-02-27 16:00:16,1865437,3105487,547875,2024-02-27T09:05:46Z
2024-02-27 17:00:16,1864694,3104525,547641,2024-02-27T10:06:21Z
2024-02-27 18:00:16,1863935,3103522,547554,2024-02-27T11:05:40Z
2024-02-27 19:00:15,1863666,3103192,547510,2024-02-27T12:07:29Z
2024-02-27 20:00:15,1863548,3103132,547542,2024-02-27T13:05:33Z
2024-02-27 21:00:19,1862802,3101659,547447,2024-02-27T14:05:54Z
2024-02-27 22:00:15,1866754,3108392,548557,2024-02-27T15:05:47Z
2024-02-27 23:00:16,1867015,3108615,548646,2024-02-27T16:06:04Z
