ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,215718,837962,138990,2024-02-25T09:29:38Z
2024-02-25 17:00:15,215779,838467,139094,2024-02-25T10:05:51Z
2024-02-25 18:00:15,215658,838135,139048,2024-02-25T11:05:26Z
2024-02-25 19:00:15,215737,838262,139051,2024-02-25T12:07:23Z
2024-02-25 20:00:16,215673,838137,139028,2024-02-25T13:05:58Z
2024-02-25 21:00:15,215797,838553,139143,2024-02-25T14:05:50Z
2024-02-25 22:00:15,216033,838976,139193,2024-02-25T15:05:30Z
2024-02-25 23:00:15,216097,839101,139216,2024-02-25T16:06:34Z
2024-02-26 00:00:15,216097,839101,139216,2024-02-25T17:05:52Z
2024-02-26 01:00:15,216097,839101,139216,2024-02-25T18:05:47Z
2024-02-26 02:00:15,216058,838919,139206,2024-02-25T19:05:50Z
2024-02-26 03:00:15,216058,838919,139206,2024-02-25T20:05:34Z
2024-02-26 04:00:15,216058,838919,139206,2024-02-25T21:05:35Z
2024-02-26 05:00:15,216058,838919,139206,2024-02-25T22:05:44Z
2024-02-26 06:00:15,216031,838796,139170,2024-02-25T23:05:52Z
2024-02-26 07:00:16,216031,838796,139170,2024-02-26T00:21:11Z
2024-02-26 08:00:15,216031,838796,139170,2024-02-26T01:27:16Z
