ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,1896186,1913604,802038,2024-02-25T09:29:38Z
2024-02-25 17:00:15,1901546,1918102,804491,2024-02-25T10:05:51Z
2024-02-25 18:00:15,1905643,1921333,805571,2024-02-25T11:05:26Z
2024-02-25 19:00:15,1906658,1922529,805386,2024-02-25T12:07:23Z
2024-02-25 20:00:16,1907748,1923481,805604,2024-02-25T13:05:58Z
2024-02-25 21:00:15,1909936,1925429,806196,2024-02-25T14:05:50Z
2024-02-25 22:00:15,1911149,1926408,806349,2024-02-25T15:05:30Z
2024-02-25 23:00:15,1911302,1926501,806366,2024-02-25T16:06:34Z
2024-02-26 00:00:15,1911244,1926404,806327,2024-02-25T17:05:52Z
2024-02-26 01:00:15,1911272,1926394,806324,2024-02-25T18:05:47Z
2024-02-26 02:00:15,1911262,1926339,806261,2024-02-25T19:05:50Z
2024-02-26 03:00:15,1911355,1926416,806309,2024-02-25T20:05:34Z
2024-02-26 04:00:15,1911355,1926416,806309,2024-02-25T21:05:35Z
2024-02-26 05:00:15,1911355,1926416,806309,2024-02-25T22:05:44Z
2024-02-26 06:00:15,1911355,1926416,806309,2024-02-25T23:05:52Z
2024-02-26 07:00:16,1911355,1926416,806309,2024-02-26T00:21:11Z
2024-02-26 08:00:15,1911283,1926336,806264,2024-02-26T01:27:16Z
2024-02-26 09:00:15,1912909,1929167,808210,2024-02-26T02:12:19Z
2024-02-26 10:00:15,1913546,1931490,811494,2024-02-26T03:06:26Z
2024-02-26 11:00:16,1915278,1933906,812907,2024-02-26T04:06:03Z
2024-02-26 12:00:15,1917229,1935736,813680,2024-02-26T05:06:08Z
2024-02-26 13:00:15,1917284,1935815,813731,2024-02-26T06:06:48Z
2024-02-26 14:00:15,1918497,1936508,814454,2024-02-26T07:06:18Z
2024-02-26 15:00:15,1919533,1937782,815026,2024-02-26T08:06:49Z
2024-02-26 16:00:15,1919324,1938528,814888,2024-02-26T09:06:01Z
2024-02-26 17:00:20,1920165,1939212,815313,2024-02-26T10:06:11Z
2024-02-26 18:00:15,1922853,1941664,816272,2024-02-26T11:05:35Z
2024-02-26 19:00:15,1923889,1942754,816715,2024-02-26T12:07:54Z
2024-02-26 20:00:15,1923954,1942607,816500,2024-02-26T13:05:51Z
2024-02-26 21:00:15,1924623,1943088,816573,2024-02-26T14:06:04Z
2024-02-26 22:00:15,1925959,1944129,817176,2024-02-26T15:06:08Z
2024-02-26 23:00:16,1926109,1944245,817195,2024-02-26T16:06:24Z
2024-02-27 00:00:15,1926011,1944184,817180,2024-02-26T17:05:57Z
2024-02-27 01:00:16,1926150,1944257,817198,2024-02-26T18:06:13Z
2024-02-27 02:00:15,1926150,1944257,817198,2024-02-26T19:05:55Z
2024-02-27 03:00:15,1926150,1944257,817198,2024-02-26T20:06:02Z
2024-02-27 04:00:15,1926150,1944257,817198,2024-02-26T21:06:03Z
2024-02-27 05:00:16,1926150,1944257,817198,2024-02-26T22:06:49Z
2024-02-27 06:00:15,1926150,1944257,817198,2024-02-26T23:06:09Z
2024-02-27 07:00:15,1926150,1944257,817198,2024-02-27T00:20:12Z
2024-02-27 08:00:15,1926150,1944257,817198,2024-02-27T01:25:16Z
2024-02-27 09:00:15,1926150,1944257,817198,2024-02-27T02:09:55Z
2024-02-27 10:00:16,1926430,1944498,817317,2024-02-27T03:05:50Z
2024-02-27 11:00:16,1927553,1945208,817505,2024-02-27T04:06:44Z
2024-02-27 12:00:15,1928400,1945911,817685,2024-02-27T05:06:51Z
2024-02-27 13:00:15,1928475,1945984,817726,2024-02-27T06:06:32Z
2024-02-27 14:00:15,1928580,1945823,817546,2024-02-27T07:06:22Z
2024-02-27 15:00:15,1928767,1945696,817169,2024-02-27T08:06:31Z
2024-02-27 16:00:16,1929432,1946435,817585,2024-02-27T09:05:46Z
2024-02-27 17:00:16,1929040,1945882,817273,2024-02-27T10:06:21Z
2024-02-27 18:00:16,1929192,1945788,817080,2024-02-27T11:05:40Z
2024-02-27 19:00:15,1929192,1945788,817080,2024-02-27T12:07:29Z
2024-02-27 20:00:15,1929129,1945664,817014,2024-02-27T13:05:33Z
2024-02-27 21:00:19,1929424,1945814,817093,2024-02-27T14:05:54Z
2024-02-27 22:00:15,1930439,1946815,817686,2024-02-27T15:05:47Z
2024-02-27 23:00:16,1930537,1946907,817730,2024-02-27T16:06:04Z
