ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,195057,437076,36270,2024-02-25T09:29:38Z
2024-02-25 17:00:15,195971,439133,36395,2024-02-25T10:05:51Z
2024-02-25 18:00:15,196059,439269,36413,2024-02-25T11:05:26Z
2024-02-25 19:00:15,196238,439658,36434,2024-02-25T12:07:23Z
2024-02-25 20:00:16,197763,440930,37819,2024-02-25T13:05:58Z
2024-02-25 21:00:15,198419,442321,37930,2024-02-25T14:05:50Z
2024-02-25 22:00:15,197451,441991,36604,2024-02-25T15:05:30Z
2024-02-25 23:00:15,197541,442123,36613,2024-02-25T16:06:34Z
2024-02-26 00:00:15,197541,442123,36613,2024-02-25T17:05:52Z
2024-02-26 01:00:15,197615,442288,36625,2024-02-25T18:05:47Z
2024-02-26 02:00:15,197615,442288,36625,2024-02-25T19:05:50Z
2024-02-26 03:00:15,197615,442288,36625,2024-02-25T20:05:34Z
2024-02-26 04:00:15,197615,442288,36625,2024-02-25T21:05:35Z
2024-02-26 05:00:15,197615,442288,36625,2024-02-25T22:05:44Z
2024-02-26 06:00:15,197615,442288,36625,2024-02-25T23:05:52Z
2024-02-26 07:00:16,197615,442288,36625,2024-02-26T00:21:11Z
2024-02-26 08:00:15,197590,442090,36619,2024-02-26T01:27:16Z
2024-02-26 09:00:15,197677,442239,36633,2024-02-26T02:12:19Z
2024-02-26 10:00:15,197677,442239,36633,2024-02-26T03:06:26Z
2024-02-26 11:00:16,197942,442648,36661,2024-02-26T04:06:03Z
2024-02-26 12:00:15,198194,443043,36706,2024-02-26T05:06:08Z
2024-02-26 13:00:15,198219,443241,36712,2024-02-26T06:06:48Z
2024-02-26 14:00:15,198219,443241,36712,2024-02-26T07:06:18Z
2024-02-26 15:00:15,198363,443573,36728,2024-02-26T08:06:49Z
2024-02-26 16:00:15,198363,443573,36728,2024-02-26T09:06:01Z
2024-02-26 17:00:20,198363,443573,36728,2024-02-26T10:06:11Z
2024-02-26 18:00:15,198702,444111,36765,2024-02-26T11:05:35Z
2024-02-26 19:00:15,198904,444348,36789,2024-02-26T12:07:54Z
