ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,428372,1158476,193289,2024-02-25T09:29:38Z
2024-02-25 17:00:15,428641,1159187,193442,2024-02-25T10:05:51Z
2024-02-25 18:00:15,429066,1159982,193501,2024-02-25T11:05:26Z
2024-02-25 19:00:15,429559,1161584,193716,2024-02-25T12:07:23Z
2024-02-25 20:00:16,429790,1162046,193720,2024-02-25T13:05:58Z
2024-02-25 21:00:15,430282,1163465,193872,2024-02-25T14:05:50Z
2024-02-25 22:00:15,430589,1164454,193961,2024-02-25T15:05:30Z
2024-02-25 23:00:15,430967,1164987,193938,2024-02-25T16:06:34Z
2024-02-26 00:00:15,431117,1165477,193978,2024-02-25T17:05:52Z
2024-02-26 01:00:15,431117,1165477,193978,2024-02-25T18:05:47Z
2024-02-26 02:00:15,431117,1165477,193978,2024-02-25T19:05:50Z
2024-02-26 03:00:15,431117,1165477,193978,2024-02-25T20:05:34Z
2024-02-26 04:00:15,431117,1165477,193978,2024-02-25T21:05:35Z
2024-02-26 05:00:15,431117,1165477,193978,2024-02-25T22:05:44Z
2024-02-26 06:00:15,431117,1165477,193978,2024-02-25T23:05:52Z
2024-02-26 07:00:16,431117,1165477,193978,2024-02-26T00:21:11Z
2024-02-26 08:00:15,431117,1165477,193978,2024-02-26T01:27:16Z
2024-02-26 09:00:15,431087,1165330,193941,2024-02-26T02:12:19Z
2024-02-26 10:00:15,431214,1165651,193988,2024-02-26T03:06:26Z
2024-02-26 11:00:16,431259,1166209,194058,2024-02-26T04:06:03Z
2024-02-26 12:00:15,431352,1166330,194163,2024-02-26T05:06:08Z
2024-02-26 13:00:15,431510,1166642,194276,2024-02-26T06:06:48Z
2024-02-26 14:00:15,431510,1166642,194276,2024-02-26T07:06:18Z
2024-02-26 15:00:15,431557,1166915,194358,2024-02-26T08:06:49Z
2024-02-26 16:00:15,431743,1167552,194417,2024-02-26T09:06:01Z
2024-02-26 17:00:20,431785,1167690,194428,2024-02-26T10:06:11Z
2024-02-26 18:00:15,431844,1167939,194506,2024-02-26T11:05:35Z
2024-02-26 19:00:15,432018,1168490,194605,2024-02-26T12:07:54Z
2024-02-26 20:00:15,432003,1168474,194616,2024-02-26T13:05:51Z
2024-02-26 21:00:15,431883,1167814,194572,2024-02-26T14:06:04Z
2024-02-26 22:00:15,432735,1169452,194712,2024-02-26T15:06:08Z
2024-02-26 23:00:16,432824,1169994,194858,2024-02-26T16:06:24Z
2024-02-27 00:00:15,432722,1169787,194830,2024-02-26T17:05:57Z
2024-02-27 01:00:16,432722,1169787,194830,2024-02-26T18:06:13Z
2024-02-27 02:00:15,432722,1169787,194830,2024-02-26T19:05:55Z
2024-02-27 03:00:15,432722,1169787,194830,2024-02-26T20:06:02Z
2024-02-27 04:00:15,432722,1169787,194830,2024-02-26T21:06:03Z
2024-02-27 05:00:16,432722,1169787,194830,2024-02-26T22:06:49Z
2024-02-27 06:00:15,432722,1169787,194830,2024-02-26T23:06:09Z
2024-02-27 07:00:15,432722,1169787,194830,2024-02-27T00:20:12Z
2024-02-27 08:00:15,432722,1169787,194830,2024-02-27T01:25:16Z
2024-02-27 09:00:15,432722,1169787,194830,2024-02-27T02:09:55Z
2024-02-27 10:00:16,432206,1169355,194750,2024-02-27T03:05:50Z
2024-02-27 11:00:16,432311,1169614,194805,2024-02-27T04:06:44Z
2024-02-27 12:00:15,432525,1169947,194872,2024-02-27T05:06:51Z
2024-02-27 13:00:15,432438,1169742,194861,2024-02-27T06:06:32Z
2024-02-27 14:00:15,432438,1169742,194861,2024-02-27T07:06:22Z
2024-02-27 15:00:15,432484,1169883,194873,2024-02-27T08:06:31Z
2024-02-27 16:00:16,432457,1169738,194820,2024-02-27T09:05:46Z
2024-02-27 17:00:16,432271,1169344,194748,2024-02-27T10:06:21Z
2024-02-27 18:00:16,432274,1169331,194732,2024-02-27T11:05:40Z
2024-02-27 19:00:15,432153,1168873,194686,2024-02-27T12:07:29Z
2024-02-27 20:00:15,432114,1168752,194673,2024-02-27T13:05:33Z
2024-02-27 21:00:19,432084,1168930,194748,2024-02-27T14:05:54Z
2024-02-27 22:00:15,433652,1174173,195395,2024-02-27T15:05:47Z
2024-02-27 23:00:16,433890,1175030,195560,2024-02-27T16:06:04Z
2024-02-28 00:00:15,433869,1174826,195545,2024-02-27T17:06:35Z
2024-02-28 01:00:15,433869,1174826,195545,2024-02-27T18:06:47Z
2024-02-28 02:00:15,433869,1174826,195545,2024-02-27T19:05:48Z
2024-02-28 03:00:15,433869,1174826,195545,2024-02-27T20:06:06Z
2024-02-28 04:00:15,433869,1174826,195545,2024-02-27T21:05:30Z
2024-02-28 05:00:15,433869,1174826,195545,2024-02-27T22:05:59Z
2024-02-28 06:00:16,433869,1174826,195545,2024-02-27T23:05:55Z
2024-02-28 07:00:15,433869,1174826,195545,2024-02-28T00:19:26Z
2024-02-28 08:00:15,433869,1174826,195545,2024-02-28T01:25:48Z
2024-02-28 09:00:15,433869,1174826,195545,2024-02-28T02:10:45Z
2024-02-28 10:00:15,433852,1174839,195540,2024-02-28T03:05:55Z
2024-02-28 11:00:15,434025,1175310,195654,2024-02-28T04:06:56Z
2024-02-28 12:00:15,433993,1175320,195692,2024-02-28T05:05:58Z
2024-02-28 13:00:16,434062,1175571,195729,2024-02-28T06:06:22Z
2024-02-28 14:00:16,434062,1175571,195729,2024-02-28T07:05:48Z
2024-02-28 15:00:15,434120,1175717,195737,2024-02-28T08:06:54Z
2024-02-28 16:00:15,434004,1175473,195707,2024-02-28T09:06:01Z
2024-02-28 17:00:16,434004,1175473,195707,2024-02-28T10:05:45Z
2024-02-28 18:00:15,433997,1175402,195715,2024-02-28T11:05:50Z
2024-02-28 19:00:15,434438,1177058,195985,2024-02-28T12:07:55Z
2024-02-28 20:00:15,434806,1177929,196134,2024-02-28T13:05:39Z
2024-02-28 21:00:15,434721,1177798,196126,2024-02-28T14:05:39Z
2024-02-28 22:00:15,434714,1177682,196070,2024-02-28T15:06:06Z
2024-02-28 23:00:15,434714,1177682,196070,2024-02-28T16:06:02Z
2024-02-29 00:00:16,434656,1177579,196064,2024-02-28T17:05:52Z
2024-02-29 01:00:15,434656,1177579,196064,2024-02-28T18:05:57Z
2024-02-29 02:00:15,434656,1177579,196064,2024-02-28T19:05:41Z
2024-02-29 03:00:15,434656,1177579,196064,2024-02-28T20:06:20Z
2024-02-29 04:00:15,434656,1177579,196064,2024-02-28T21:05:56Z
2024-02-29 05:00:16,434656,1177579,196064,2024-02-28T22:05:46Z
2024-02-29 06:00:15,434656,1177579,196064,2024-02-28T23:06:34Z
2024-02-29 07:00:15,434656,1177579,196064,2024-02-29T00:20:10Z
2024-02-29 08:00:15,434656,1177579,196064,2024-02-29T01:25:39Z
2024-02-29 09:00:15,434610,1177428,196030,2024-02-29T02:09:35Z
2024-02-29 10:00:15,434610,1177428,196030,2024-02-29T03:05:59Z
2024-02-29 11:00:15,434669,1177484,196050,2024-02-29T04:06:44Z
2024-02-29 12:00:16,434730,1177743,196091,2024-02-29T05:07:06Z
2024-02-29 13:00:15,434730,1177743,196091,2024-02-29T06:07:18Z
2024-02-29 14:00:16,434730,1177743,196091,2024-02-29T07:06:39Z
2024-02-29 15:00:15,434720,1177610,196056,2024-02-29T08:06:32Z
2024-02-29 16:00:16,434666,1177461,196045,2024-02-29T09:06:39Z
2024-02-29 17:00:15,434666,1177461,196045,2024-02-29T10:05:53Z
2024-02-29 18:00:15,434666,1177461,196045,2024-02-29T11:05:38Z
2024-02-29 19:00:15,434666,1177461,196045,2024-02-29T12:08:22Z
2024-02-29 20:00:16,434666,1177461,196045,2024-02-29T13:05:47Z
2024-02-29 21:00:15,434666,1177461,196045,2024-02-29T14:07:01Z
2024-02-29 22:00:15,434666,1177461,196045,2024-02-29T15:05:44Z
2024-02-29 23:00:16,434666,1177461,196045,2024-02-29T16:05:57Z
2024-03-01 00:00:15,434666,1177461,196045,2024-02-29T17:05:31Z
2024-03-01 01:00:15,434666,1177461,196045,2024-02-29T18:06:53Z
2024-03-01 02:00:15,434666,1177461,196045,2024-02-29T19:05:22Z
2024-03-01 03:00:16,434666,1177461,196045,2024-02-29T20:07:03Z
2024-03-01 04:00:16,434666,1177461,196045,2024-02-29T21:06:41Z
2024-03-01 04:00:16,434666,1177461,196045,2024-02-29T22:05:33Z
2024-03-01 06:00:15,434666,1177461,196045,2024-02-29T23:05:50Z
2024-03-01 07:00:15,434666,1177461,196045,2024-03-01T00:23:19Z
2024-03-01 08:00:15,434666,1177461,196045,2024-03-01T01:29:51Z
2024-03-01 09:00:15,434666,1177461,196045,2024-03-01T02:13:44Z
2024-03-01 10:00:16,434666,1177461,196045,2024-03-01T03:07:38Z
2024-03-01 11:00:16,434482,1176724,195898,2024-03-01T04:07:05Z
2024-03-01 12:00:15,434482,1176724,195898,2024-03-01T05:06:06Z
2024-03-01 13:00:15,434482,1176724,195898,2024-03-01T06:06:47Z
2024-03-01 14:00:16,434527,1176903,195923,2024-03-01T07:05:47Z
2024-03-01 15:00:15,434527,1176903,195923,2024-03-01T08:06:28Z
2024-03-01 16:00:16,434351,1176651,195888,2024-03-01T09:06:37Z
2024-03-01 17:00:15,434232,1176198,195856,2024-03-01T10:06:07Z
