ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,2573664,10762396,6961849,2024-02-25T09:29:38Z
2024-02-25 17:00:15,2575766,10771810,6967403,2024-02-25T10:05:51Z
2024-02-25 18:00:15,2576661,10775719,6969607,2024-02-25T11:05:26Z
2024-02-25 19:00:15,2577452,10779188,6971583,2024-02-25T12:07:23Z
2024-02-25 20:00:16,2578042,10781864,6973320,2024-02-25T13:05:58Z
2024-02-25 21:00:15,2580901,10793853,6980673,2024-02-25T14:05:50Z
2024-02-25 22:00:15,2582187,10800151,6984337,2024-02-25T15:05:30Z
2024-02-25 23:00:15,2582805,10801941,6985533,2024-02-25T16:06:34Z
2024-02-26 00:00:15,2583381,10803907,6986647,2024-02-25T17:05:52Z
2024-02-26 01:00:15,2583379,10803800,6986581,2024-02-25T18:05:47Z
2024-02-26 02:00:15,2583528,10804496,6986808,2024-02-25T19:05:50Z
2024-02-26 03:00:15,2583788,10805454,6987219,2024-02-25T20:05:34Z
2024-02-26 04:00:15,2583788,10805454,6987219,2024-02-25T21:05:35Z
2024-02-26 05:00:15,2583788,10805454,6987219,2024-02-25T22:05:44Z
2024-02-26 06:00:15,2583788,10805454,6987219,2024-02-25T23:05:52Z
2024-02-26 07:00:16,2583788,10805454,6987219,2024-02-26T00:21:11Z
2024-02-26 08:00:15,2583954,10806140,6987547,2024-02-26T01:27:16Z
2024-02-26 09:00:15,2583725,10806532,6987458,2024-02-26T02:12:19Z
2024-02-26 10:00:15,2583962,10807580,6987756,2024-02-26T03:06:26Z
2024-02-26 11:00:16,2584445,10809057,6988779,2024-02-26T04:06:03Z
2024-02-26 12:00:15,2584778,10809846,6989373,2024-02-26T05:06:08Z
2024-02-26 13:00:15,2585404,10811886,6990815,2024-02-26T06:06:48Z
2024-02-26 14:00:15,2585333,10811896,6990833,2024-02-26T07:06:18Z
2024-02-26 15:00:15,2585250,10811878,6990801,2024-02-26T08:06:49Z
2024-02-26 16:00:15,2585196,10812197,6990817,2024-02-26T09:06:01Z
2024-02-26 17:00:20,2585239,10812258,6990942,2024-02-26T10:06:11Z
2024-02-26 18:00:15,2585366,10812953,6991144,2024-02-26T11:05:35Z
2024-02-26 19:00:15,2585666,10814151,6991748,2024-02-26T12:07:54Z
2024-02-26 20:00:15,2585694,10814272,6991802,2024-02-26T13:05:51Z
2024-02-26 21:00:15,2585743,10814493,6991985,2024-02-26T14:06:04Z
2024-02-26 22:00:15,2586100,10816434,6993059,2024-02-26T15:06:08Z
2024-02-26 23:00:16,2586343,10817647,6993666,2024-02-26T16:06:24Z
2024-02-27 00:00:15,2586339,10817529,6993608,2024-02-26T17:05:57Z
2024-02-27 01:00:16,2586343,10817647,6993666,2024-02-26T18:06:13Z
2024-02-27 02:00:15,2586343,10817647,6993666,2024-02-26T19:05:55Z
2024-02-27 03:00:15,2586343,10817647,6993666,2024-02-26T20:06:02Z
2024-02-27 04:00:15,2586343,10817647,6993666,2024-02-26T21:06:03Z
2024-02-27 05:00:16,2586343,10817647,6993666,2024-02-26T22:06:49Z
2024-02-27 06:00:15,2586343,10817647,6993666,2024-02-26T23:06:09Z
2024-02-27 07:00:15,2586343,10817647,6993666,2024-02-27T00:20:12Z
2024-02-27 08:00:15,2586343,10817647,6993666,2024-02-27T01:25:16Z
2024-02-27 09:00:15,2586299,10817541,6993640,2024-02-27T02:09:55Z
2024-02-27 10:00:16,2586299,10817541,6993640,2024-02-27T03:05:50Z
