ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,3299831,14016966,3769133,2024-02-25T09:29:38Z
2024-02-25 17:00:15,3311756,14056711,3780442,2024-02-25T10:05:51Z
2024-02-25 18:00:15,3319147,14079922,3787310,2024-02-25T11:05:26Z
2024-02-25 19:00:15,3320001,14083988,3788125,2024-02-25T12:07:23Z
2024-02-25 20:00:16,3324183,14098829,3792446,2024-02-25T13:05:58Z
2024-02-25 21:00:15,3335839,14132398,3801434,2024-02-25T14:05:50Z
2024-02-25 22:00:15,3343255,14162852,3809822,2024-02-25T15:05:30Z
2024-02-25 23:00:15,3345472,14168918,3811468,2024-02-25T16:06:34Z
2024-02-26 00:00:15,3345413,14169199,3811440,2024-02-25T17:05:52Z
2024-02-26 01:00:15,3345909,14170473,3811928,2024-02-25T18:05:47Z
2024-02-26 02:00:15,3346762,14173353,3812769,2024-02-25T19:05:50Z
2024-02-26 03:00:15,3346762,14173353,3812769,2024-02-25T20:05:34Z
2024-02-26 04:00:15,3346741,14173210,3812741,2024-02-25T21:05:35Z
2024-02-26 05:00:15,3346741,14173210,3812741,2024-02-25T22:05:44Z
2024-02-26 06:00:15,3346741,14173210,3812741,2024-02-25T23:05:52Z
2024-02-26 07:00:16,3346741,14173210,3812741,2024-02-26T00:21:11Z
2024-02-26 08:00:15,3346741,14173210,3812741,2024-02-26T01:27:16Z
2024-02-26 09:00:15,3346580,14172885,3812633,2024-02-26T02:12:19Z
2024-02-26 10:00:15,3346865,14173871,3813201,2024-02-26T03:06:26Z
2024-02-26 11:00:16,3349952,14184087,3816154,2024-02-26T04:06:03Z
2024-02-26 12:00:15,3352375,14190483,3818400,2024-02-26T05:06:08Z
2024-02-26 13:00:15,3354076,14195937,3819668,2024-02-26T06:06:48Z
2024-02-26 14:00:15,3354742,14198523,3820276,2024-02-26T07:06:18Z
2024-02-26 15:00:15,3355493,14201110,3821032,2024-02-26T08:06:49Z
2024-02-26 16:00:15,3355964,14203356,3821495,2024-02-26T09:06:01Z
2024-02-26 17:00:20,3356908,14205677,3822257,2024-02-26T10:06:11Z
2024-02-26 18:00:15,3358563,14209509,3823350,2024-02-26T11:05:35Z
