ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,197803,827901,123081,2024-02-25T09:29:38Z
2024-02-25 17:00:15,198134,829250,123286,2024-02-25T10:05:51Z
2024-02-25 18:00:15,198228,829745,123321,2024-02-25T11:05:26Z
2024-02-25 19:00:15,198558,830551,123389,2024-02-25T12:07:23Z
2024-02-25 20:00:16,198594,830946,123479,2024-02-25T13:05:58Z
2024-02-25 21:00:15,199015,832905,123765,2024-02-25T14:05:50Z
2024-02-25 22:00:15,199461,834361,123920,2024-02-25T15:05:30Z
2024-02-25 23:00:15,199799,835280,124045,2024-02-25T16:06:34Z
2024-02-26 00:00:15,199909,836098,124104,2024-02-25T17:05:52Z
2024-02-26 01:00:15,199909,836098,124104,2024-02-25T18:05:47Z
2024-02-26 02:00:15,199909,836098,124104,2024-02-25T19:05:50Z
2024-02-26 03:00:15,199995,836301,124134,2024-02-25T20:05:34Z
2024-02-26 04:00:15,199995,836301,124134,2024-02-25T21:05:35Z
2024-02-26 05:00:15,199995,836301,124134,2024-02-25T22:05:44Z
2024-02-26 06:00:15,199995,836301,124134,2024-02-25T23:05:52Z
2024-02-26 07:00:16,199995,836301,124134,2024-02-26T00:21:11Z
2024-02-26 08:00:15,199995,836301,124134,2024-02-26T01:27:16Z
2024-02-26 09:00:15,200257,836793,124172,2024-02-26T02:12:19Z
2024-02-26 10:00:15,200311,836853,124179,2024-02-26T03:06:26Z
2024-02-26 11:00:16,200473,837593,124285,2024-02-26T04:06:03Z
2024-02-26 12:00:15,201035,839864,124582,2024-02-26T05:06:08Z
2024-02-26 13:00:15,201035,839864,124582,2024-02-26T06:06:48Z
2024-02-26 14:00:15,201082,840220,124659,2024-02-26T07:06:18Z
2024-02-26 15:00:15,200909,839931,124626,2024-02-26T08:06:49Z
2024-02-26 16:00:15,200968,839852,124590,2024-02-26T09:06:01Z
2024-02-26 17:00:20,200963,839662,124574,2024-02-26T10:06:11Z
2024-02-26 18:00:15,201063,840214,124635,2024-02-26T11:05:35Z
2024-02-26 19:00:15,201084,840548,124676,2024-02-26T12:07:54Z
2024-02-26 20:00:15,201106,840343,124632,2024-02-26T13:05:51Z
2024-02-26 21:00:15,201271,841407,124803,2024-02-26T14:06:04Z
2024-02-26 22:00:15,201559,843096,125105,2024-02-26T15:06:08Z
2024-02-26 23:00:16,201535,842880,125092,2024-02-26T16:06:24Z
2024-02-27 00:00:15,201535,842880,125092,2024-02-26T17:05:57Z
2024-02-27 01:00:16,201535,842880,125092,2024-02-26T18:06:13Z
2024-02-27 02:00:15,201535,842880,125092,2024-02-26T19:05:55Z
2024-02-27 03:00:15,201535,842880,125092,2024-02-26T20:06:02Z
2024-02-27 04:00:15,201535,842880,125092,2024-02-26T21:06:03Z
2024-02-27 05:00:16,201535,842880,125092,2024-02-26T22:06:49Z
2024-02-27 06:00:15,201535,842880,125092,2024-02-26T23:06:09Z
2024-02-27 07:00:15,201535,842880,125092,2024-02-27T00:20:12Z
2024-02-27 08:00:15,201535,842880,125092,2024-02-27T01:25:16Z
2024-02-27 09:00:15,201535,842880,125132,2024-02-27T02:09:55Z
2024-02-27 10:00:16,202356,843135,125156,2024-02-27T03:05:50Z
2024-02-27 11:00:16,202442,843740,125407,2024-02-27T04:06:44Z
