ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,95818,282315,93957,2024-02-25T09:29:38Z
2024-02-25 17:00:15,95944,282693,94059,2024-02-25T10:05:51Z
2024-02-25 18:00:15,95980,282858,94091,2024-02-25T11:05:26Z
2024-02-25 19:00:15,95980,282858,94091,2024-02-25T12:07:23Z
2024-02-25 20:00:16,96014,282985,94119,2024-02-25T13:05:58Z
2024-02-25 21:00:15,96071,283237,94124,2024-02-25T14:05:50Z
2024-02-25 22:00:15,96093,283357,94179,2024-02-25T15:05:30Z
2024-02-25 23:00:15,96093,283357,94179,2024-02-25T16:06:34Z
2024-02-26 00:00:15,96093,283357,94179,2024-02-25T17:05:52Z
2024-02-26 01:00:15,96093,283357,94179,2024-02-25T18:05:47Z
2024-02-26 02:00:15,96093,283357,94179,2024-02-25T19:05:50Z
2024-02-26 03:00:15,96093,283357,94179,2024-02-25T20:05:34Z
2024-02-26 04:00:15,96093,283357,94179,2024-02-25T21:05:35Z
