ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,677852,1739155,202532,2024-02-25T09:29:38Z
2024-02-25 17:00:15,680198,1745583,203298,2024-02-25T10:05:51Z
2024-02-25 18:00:15,681976,1749965,203755,2024-02-25T11:05:26Z
2024-02-25 19:00:15,682484,1751487,203697,2024-02-25T12:07:23Z
2024-02-25 20:00:16,683083,1753259,203879,2024-02-25T13:05:58Z
2024-02-25 21:00:15,684894,1757664,204348,2024-02-25T14:05:50Z
2024-02-25 22:00:15,686135,1760704,204617,2024-02-25T15:05:30Z
2024-02-25 23:00:15,686209,1760814,204640,2024-02-25T16:06:34Z
2024-02-26 00:00:15,686241,1760951,204645,2024-02-25T17:05:52Z
2024-02-26 01:00:15,686241,1760951,204645,2024-02-25T18:05:47Z
2024-02-26 02:00:15,686241,1760951,204645,2024-02-25T19:05:50Z
2024-02-26 03:00:15,686338,1761215,204670,2024-02-25T20:05:34Z
2024-02-26 04:00:15,686338,1761215,204670,2024-02-25T21:05:35Z
2024-02-26 05:00:15,686338,1761215,204670,2024-02-25T22:05:44Z
2024-02-26 06:00:15,686338,1761215,204670,2024-02-25T23:05:52Z
2024-02-26 07:00:16,686338,1761215,204670,2024-02-26T00:21:11Z
2024-02-26 08:00:15,686505,1761484,204699,2024-02-26T01:27:16Z
2024-02-26 09:00:15,686505,1761484,204699,2024-02-26T02:12:19Z
2024-02-26 10:00:15,686587,1762141,204729,2024-02-26T03:06:26Z
2024-02-26 11:00:16,686957,1763009,204802,2024-02-26T04:06:03Z
2024-02-26 12:00:15,687583,1764383,204917,2024-02-26T05:06:08Z
2024-02-26 13:00:15,687920,1765406,205050,2024-02-26T06:06:48Z
2024-02-26 14:00:15,688093,1765849,205094,2024-02-26T07:06:18Z
2024-02-26 15:00:15,688152,1766046,205158,2024-02-26T08:06:49Z
2024-02-26 16:00:15,688249,1766433,205182,2024-02-26T09:06:01Z
2024-02-26 17:00:20,688310,1766942,205238,2024-02-26T10:06:11Z
2024-02-26 18:00:15,688670,1767449,205265,2024-02-26T11:05:35Z
2024-02-26 19:00:15,688981,1768221,205311,2024-02-26T12:07:54Z
2024-02-26 20:00:15,688993,1768278,205272,2024-02-26T13:05:51Z
2024-02-26 21:00:15,689072,1768704,205283,2024-02-26T14:06:04Z
2024-02-26 22:00:15,689957,1770874,205535,2024-02-26T15:06:08Z
2024-02-26 23:00:16,690235,1771763,205607,2024-02-26T16:06:24Z
2024-02-27 00:00:15,690235,1771763,205607,2024-02-26T17:05:57Z
2024-02-27 01:00:16,690235,1771763,205607,2024-02-26T18:06:13Z
2024-02-27 02:00:15,690235,1771763,205607,2024-02-26T19:05:55Z
2024-02-27 03:00:15,690235,1771763,205607,2024-02-26T20:06:02Z
2024-02-27 04:00:15,690235,1771763,205607,2024-02-26T21:06:03Z
2024-02-27 05:00:16,690235,1771763,205607,2024-02-26T22:06:49Z
2024-02-27 06:00:15,690235,1771763,205607,2024-02-26T23:06:09Z
2024-02-27 07:00:15,690235,1771763,205607,2024-02-27T00:20:12Z
2024-02-27 08:00:15,690235,1771763,205607,2024-02-27T01:25:16Z
2024-02-27 09:00:15,690250,1771816,205617,2024-02-27T02:09:55Z
2024-02-27 10:00:16,690386,1772208,205653,2024-02-27T03:05:50Z
2024-02-27 11:00:16,690454,1772478,205670,2024-02-27T04:06:44Z
2024-02-27 12:00:15,690412,1772337,205653,2024-02-27T05:06:51Z
