ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,104306,1196775,650750,2024-02-25T09:29:38Z
2024-02-25 17:00:15,104765,1206127,655692,2024-02-25T10:05:51Z
2024-02-25 18:00:15,105774,1218136,661682,2024-02-25T11:05:26Z
2024-02-25 19:00:15,105550,1220580,662882,2024-02-25T12:07:23Z
2024-02-25 20:00:16,105876,1224704,664859,2024-02-25T13:05:58Z
2024-02-25 21:00:15,106663,1234535,669551,2024-02-25T14:05:50Z
2024-02-25 22:00:15,107196,1244864,674426,2024-02-25T15:05:30Z
2024-02-25 23:00:15,107485,1247858,675834,2024-02-25T16:06:34Z
2024-02-26 00:00:15,107593,1248022,676034,2024-02-25T17:05:52Z
2024-02-26 01:00:15,107625,1248749,676503,2024-02-25T18:05:47Z
2024-02-26 02:00:15,107625,1248749,676503,2024-02-25T19:05:50Z
2024-02-26 03:00:15,107656,1249595,676814,2024-02-25T20:05:34Z
2024-02-26 04:00:15,107656,1249595,676814,2024-02-25T21:05:35Z
2024-02-26 05:00:15,107656,1249595,676814,2024-02-25T22:05:44Z
2024-02-26 06:00:15,107649,1249282,676510,2024-02-25T23:05:52Z
2024-02-26 07:00:16,107560,1248434,676187,2024-02-26T00:21:11Z
2024-02-26 08:00:15,107560,1248292,676097,2024-02-26T01:27:16Z
2024-02-26 09:00:15,107558,1248121,676067,2024-02-26T02:12:19Z
