ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,19412,105828,53411,2024-02-25T09:29:38Z
2024-02-25 17:00:15,19458,106087,53595,2024-02-25T10:05:51Z
2024-02-25 18:00:15,19585,107122,53984,2024-02-25T11:05:26Z
2024-02-25 19:00:15,19597,107314,54082,2024-02-25T12:07:23Z
2024-02-25 20:00:16,19664,107569,54257,2024-02-25T13:05:58Z
2024-02-25 21:00:15,19903,109147,54711,2024-02-25T14:05:50Z
2024-02-25 22:00:15,20139,110418,55140,2024-02-25T15:05:30Z
2024-02-25 23:00:15,20276,111137,55280,2024-02-25T16:06:34Z
2024-02-26 00:00:15,20276,111137,55280,2024-02-25T17:05:52Z
2024-02-26 01:00:15,20276,111137,55280,2024-02-25T18:05:47Z
2024-02-26 02:00:15,20276,111137,55280,2024-02-25T19:05:50Z
2024-02-26 03:00:15,20276,111137,55280,2024-02-25T20:05:34Z
2024-02-26 04:00:15,20276,111137,55280,2024-02-25T21:05:35Z
2024-02-26 05:00:15,20276,111137,55280,2024-02-25T22:05:44Z
2024-02-26 06:00:15,20276,111137,55280,2024-02-25T23:05:52Z
2024-02-26 07:00:16,20276,111137,55280,2024-02-26T00:21:11Z
2024-02-26 08:00:15,20276,111137,55280,2024-02-26T01:27:16Z
2024-02-26 09:00:15,20276,111137,55280,2024-02-26T02:12:19Z
2024-02-26 10:00:15,20284,111169,55339,2024-02-26T03:06:26Z
2024-02-26 11:00:16,20265,111107,55359,2024-02-26T04:06:03Z
2024-02-26 12:00:15,20265,111107,55359,2024-02-26T05:06:08Z
2024-02-26 13:00:15,20293,111311,55403,2024-02-26T06:06:48Z
2024-02-26 14:00:15,20289,111313,55215,2024-02-26T07:06:18Z
2024-02-26 15:00:15,20211,111035,54714,2024-02-26T08:06:49Z
2024-02-26 16:00:15,20211,111035,54714,2024-02-26T09:06:01Z
2024-02-26 17:00:20,20231,111204,54866,2024-02-26T10:06:11Z
