ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,1603262,2394212,207040,2024-02-25T09:29:38Z
2024-02-25 17:00:15,1605262,2397125,207733,2024-02-25T10:05:51Z
2024-02-25 18:00:15,1606240,2399125,208009,2024-02-25T11:05:26Z
2024-02-25 19:00:15,1606545,2400055,207841,2024-02-25T12:07:23Z
2024-02-25 20:00:16,1606997,2400828,207873,2024-02-25T13:05:58Z
2024-02-25 21:00:15,1609304,2404583,208143,2024-02-25T14:05:50Z
2024-02-25 22:00:15,1609733,2405495,208240,2024-02-25T15:05:30Z
2024-02-25 23:00:15,1610189,2406275,208275,2024-02-25T16:06:34Z
2024-02-26 00:00:15,1610898,2406646,208473,2024-02-25T17:05:52Z
2024-02-26 01:00:15,1610898,2406646,208473,2024-02-25T18:05:47Z
