ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,304679,970743,124313,2024-02-25T09:29:38Z
2024-02-25 17:00:15,306046,974662,124778,2024-02-25T10:05:51Z
2024-02-25 18:00:15,306950,977219,125043,2024-02-25T11:05:26Z
2024-02-25 19:00:15,307214,978154,125142,2024-02-25T12:07:23Z
2024-02-25 20:00:16,307883,979627,125275,2024-02-25T13:05:58Z
2024-02-25 21:00:15,308253,981621,125633,2024-02-25T14:05:50Z
2024-02-25 22:00:15,308999,983836,125861,2024-02-25T15:05:30Z
2024-02-25 23:00:15,309512,984476,126113,2024-02-25T16:06:34Z
2024-02-26 00:00:15,309509,984432,126109,2024-02-25T17:05:52Z
2024-02-26 01:00:15,309569,984619,126147,2024-02-25T18:05:47Z
2024-02-26 02:00:15,309583,984753,126148,2024-02-25T19:05:50Z
