ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,1449164,1020404,102408,2024-02-25T09:29:38Z
2024-02-25 17:00:15,1459720,1026896,103070,2024-02-25T10:05:51Z
2024-02-25 18:00:15,1465875,1031378,103527,2024-02-25T11:05:26Z
2024-02-25 19:00:15,1468266,1032320,103793,2024-02-25T12:07:23Z
2024-02-25 20:00:16,1471524,1033906,104073,2024-02-25T13:05:58Z
2024-02-25 21:00:15,1481560,1041074,104501,2024-02-25T14:05:50Z
2024-02-25 22:00:15,1489618,1045810,104829,2024-02-25T15:05:30Z
2024-02-25 23:00:15,1494807,1048146,105065,2024-02-25T16:06:34Z
2024-02-26 00:00:15,1495770,1048958,105135,2024-02-25T17:05:52Z
2024-02-26 01:00:15,1495805,1048838,105075,2024-02-25T18:05:47Z
2024-02-26 02:00:15,1495545,1048666,105040,2024-02-25T19:05:50Z
2024-02-26 03:00:15,1495389,1048457,105011,2024-02-25T20:05:34Z
2024-02-26 04:00:15,1495418,1048575,105067,2024-02-25T21:05:35Z
2024-02-26 05:00:15,1495588,1048901,105155,2024-02-25T22:05:44Z
2024-02-26 06:00:15,1495588,1048901,105155,2024-02-25T23:05:52Z
2024-02-26 07:00:16,1495821,1049013,105242,2024-02-26T00:21:11Z
2024-02-26 08:00:15,1496626,1049836,105288,2024-02-26T01:27:16Z
2024-02-26 09:00:15,1496760,1049888,105297,2024-02-26T02:12:19Z
2024-02-26 10:00:15,1501171,1052176,105504,2024-02-26T03:06:26Z
2024-02-26 11:00:16,1505358,1054302,105687,2024-02-26T04:06:03Z
2024-02-26 12:00:15,1509882,1057347,105959,2024-02-26T05:06:08Z
2024-02-26 13:00:15,1512017,1060079,106115,2024-02-26T06:06:48Z
2024-02-26 14:00:15,1514470,1062354,106266,2024-02-26T07:06:18Z
2024-02-26 15:00:15,1521247,1068196,106718,2024-02-26T08:06:49Z
2024-02-26 16:00:15,1522537,1069368,106682,2024-02-26T09:06:01Z
2024-02-26 17:00:20,1522332,1069076,106670,2024-02-26T10:06:11Z
2024-02-26 18:00:15,1523549,1069349,106710,2024-02-26T11:05:35Z
2024-02-26 19:00:15,1525872,1070082,106759,2024-02-26T12:07:54Z
2024-02-26 20:00:15,1526035,1070118,106760,2024-02-26T13:05:51Z
2024-02-26 21:00:15,1527025,1070880,106916,2024-02-26T14:06:04Z
2024-02-26 22:00:15,1535217,1076076,107365,2024-02-26T15:06:08Z
