ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,1342571,2758704,574416,2024-02-25T09:29:38Z
2024-02-25 17:00:15,1360577,2789055,581028,2024-02-25T10:05:51Z
2024-02-25 18:00:15,1379400,2820105,588080,2024-02-25T11:05:26Z
2024-02-25 19:00:15,1382525,2825208,589040,2024-02-25T12:07:23Z
2024-02-25 20:00:16,1389815,2837283,592216,2024-02-25T13:05:58Z
2024-02-25 21:00:15,1404849,2860748,597055,2024-02-25T14:05:50Z
2024-02-25 22:00:15,1422864,2890625,602996,2024-02-25T15:05:30Z
2024-02-25 23:00:15,1426332,2897016,604607,2024-02-25T16:06:34Z
2024-02-26 00:00:15,1427301,2898908,605309,2024-02-25T17:05:52Z
2024-02-26 01:00:15,1427445,2899123,605336,2024-02-25T18:05:47Z
2024-02-26 02:00:15,1427445,2899123,605336,2024-02-25T19:05:50Z
2024-02-26 03:00:15,1433317,2911399,607280,2024-02-25T20:05:34Z
2024-02-26 04:00:15,1434296,2913252,607669,2024-02-25T21:05:35Z
2024-02-26 05:00:15,1434296,2913252,607669,2024-02-25T22:05:44Z
2024-02-26 06:00:15,1434296,2913252,607669,2024-02-25T23:05:52Z
2024-02-26 07:00:16,1434296,2913252,607669,2024-02-26T00:21:11Z
2024-02-26 08:00:15,1434296,2913252,607669,2024-02-26T01:27:16Z
2024-02-26 09:00:15,1434421,2913808,607557,2024-02-26T02:12:19Z
2024-02-26 10:00:15,1436031,2915462,607986,2024-02-26T03:06:26Z
2024-02-26 11:00:16,1437429,2918073,608807,2024-02-26T04:06:03Z
2024-02-26 12:00:15,1437669,2918957,609183,2024-02-26T05:06:08Z
2024-02-26 13:00:15,1437669,2918957,609183,2024-02-26T06:06:48Z
2024-02-26 14:00:15,1440405,2922497,609975,2024-02-26T07:06:18Z
2024-02-26 15:00:15,1440946,2923999,610373,2024-02-26T08:06:49Z
2024-02-26 16:00:15,1443025,2928589,611440,2024-02-26T09:06:01Z
2024-02-26 17:00:20,1444540,2930816,612008,2024-02-26T10:06:11Z
2024-02-26 18:00:15,1445793,2932938,612293,2024-02-26T11:05:35Z
2024-02-26 19:00:15,1447372,2935189,612649,2024-02-26T12:07:54Z
2024-02-26 20:00:15,1447588,2935607,612696,2024-02-26T13:05:51Z
