ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,278463,125053,65327,316887,167591,8450,13720,110217,5216,22639,6462,130428,13399,107784,13351,7337,109448,11738
2024-02-25 23:07:04,2024-02-25T17:05:52Z,278474,124970,65331,316806,167493,8451,13720,110245,5216,22639,6461,130328,13398,107812,13354,7337,109474,11742
2024-02-26 00:07:05,2024-02-25T18:05:47Z,278684,125045,65347,317090,167697,8461,13728,110392,5218,22713,6463,130440,13399,107948,13368,7340,109659,11753
2024-02-26 01:07:03,2024-02-25T19:05:50Z,278747,125061,65347,317106,167739,8461,13731,110408,5218,22713,6463,130455,13401,107974,13436,7347,109672,11755
2024-02-26 02:07:02,2024-02-25T20:05:34Z,278792,125099,65347,317181,167761,8464,13733,110422,5218,22718,6467,130461,13401,107996,13466,7347,109737,11755
2024-02-26 03:07:03,2024-02-25T21:05:35Z,278875,125111,65328,317277,167776,8464,13732,110441,5218,22718,6467,130464,13385,108004,13466,7347,109777,11755
2024-02-26 04:07:29,2024-02-25T22:05:44Z,279420,125187,65305,317948,167912,8470,13743,110613,5225,22729,6478,130536,13389,108092,13713,7353,110024,11765
2024-02-26 05:07:04,2024-02-25T23:05:52Z,279722,125226,65338,318133,167979,8471,13748,110660,5229,22733,6480,130572,13394,108129,13940,7355,110177,11766
2024-02-26 06:07:03,2024-02-26T00:21:11Z,279745,125230,65338,318162,167985,8471,13868,110669,5229,22735,6482,130603,13394,108131,13940,7355,110218,11765
2024-02-26 07:07:03,2024-02-26T01:27:16Z,279745,125230,65338,318162,167985,8471,13868,110669,5229,22735,6482,130603,13394,108131,13940,7355,110218,11765
2024-02-26 08:07:03,2024-02-26T02:12:19Z,279745,125230,65338,318162,167985,8471,13868,110669,5229,22735,6482,130603,13394,108131,13940,7355,110218,11765
2024-02-26 09:07:03,2024-02-26T03:06:26Z,279756,125235,65338,318214,168003,8471,13868,110688,5229,22750,6483,130648,13394,108131,13940,7355,110221,11766
2024-02-26 10:07:15,2024-02-26T04:06:03Z,280897,126444,66259,319566,169164,9288,13961,111771,6096,23253,6792,131653,14303,109135,14403,7842,110338,12620
2024-02-26 11:07:10,2024-02-26T05:06:08Z,282065,126706,66222,320041,169367,9290,13984,111962,5794,23363,6794,131795,14328,109327,14459,7862,110882,12598
2024-02-26 12:07:11,2024-02-26T06:06:48Z,282255,126707,66247,320183,169444,9290,13985,112063,5794,23374,6796,131843,14344,109538,14462,7866,110913,12599
2024-02-26 13:07:16,2024-02-26T07:06:18Z,282390,126761,66252,320364,169524,9298,13988,112229,5797,23428,6801,131915,14346,109599,14563,7869,110981,12601
2024-02-26 14:07:09,2024-02-26T08:06:49Z,282526,126794,66291,320559,169601,9299,13988,112272,5797,23457,6801,131965,14349,109694,14691,7870,111062,12601
2024-02-26 15:07:08,2024-02-26T09:06:01Z,283471,127746,67196,321576,170533,9315,14908,112779,5805,24352,7689,132060,15314,110710,15722,9143,112802,14323
