ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,25286,67161,141729,251860,109860,5497,8955,56258,2420,9033,3846,146687,3406,20987,14808,23166,8233,2397
2024-02-25 23:07:04,2024-02-25T17:05:52Z,25298,67194,142012,251944,109922,5505,8956,56280,2420,9042,3852,146751,3408,21003,14810,23187,8238,2397
2024-02-26 00:07:05,2024-02-25T18:05:47Z,25308,67285,142196,252021,109955,5507,8959,56285,2421,9044,3853,146760,3408,21017,14813,23192,8239,2398
2024-02-26 01:07:03,2024-02-25T19:05:50Z,25323,67321,142462,252109,109984,5511,8962,56287,2421,9054,3853,146779,3415,21018,14818,23196,8242,2398
2024-02-26 02:07:02,2024-02-25T20:05:34Z,25325,67330,142464,252191,110018,5511,8962,56289,2425,9054,3853,146798,3415,21018,14851,23221,8242,2398
2024-02-26 03:07:03,2024-02-25T21:05:35Z,25325,67330,142464,252191,110018,5511,8962,56289,2425,9054,3853,146798,3415,21018,14851,23221,8242,2398
2024-02-26 04:07:29,2024-02-25T22:05:44Z,25325,67330,142464,252191,110018,5511,8962,56289,2425,9054,3853,146798,3415,21018,14851,23221,8242,2398
2024-02-26 05:07:04,2024-02-25T23:05:52Z,25325,67330,142464,252191,110018,5511,8962,56289,2425,9054,3853,146798,3415,21018,14851,23221,8242,2398
2024-02-26 06:07:03,2024-02-26T00:21:11Z,25325,67330,142464,252191,110018,5511,8962,56289,2425,9054,3853,146798,3415,21018,14851,23221,8242,2398
2024-02-26 07:07:03,2024-02-26T01:27:16Z,25325,67330,142464,252191,110018,5511,8962,56289,2425,9054,3853,146798,3415,21018,14851,23221,8242,2398
2024-02-26 08:07:03,2024-02-26T02:12:19Z,25312,67312,142393,252156,109999,5510,8950,56289,2424,9054,3853,146792,3414,21018,14805,23221,8229,2398
2024-02-26 09:07:03,2024-02-26T03:06:26Z,25322,67337,142406,252409,110075,5511,8953,56355,2428,9066,3758,146789,3414,21036,14874,23226,8231,2397
2024-02-26 10:07:15,2024-02-26T04:06:03Z,25368,67541,142619,252884,110375,5517,8966,56618,2434,9104,3792,147043,3418,21068,14923,23275,8243,2402
2024-02-26 11:07:10,2024-02-26T05:06:08Z,25389,67630,142799,253254,110669,5521,8973,56818,2435,9129,3796,147250,3419,21099,14968,23297,9123,3030
2024-02-26 12:07:11,2024-02-26T06:06:48Z,25478,67924,143054,254079,111297,5534,8999,57251,2442,9169,3805,148037,3425,21230,15028,23375,9156,3036
2024-02-26 13:07:16,2024-02-26T07:06:18Z,25500,67979,143303,254259,111355,5542,9006,57368,2449,9178,3806,148098,3426,21242,15040,23386,9161,3038
2024-02-26 14:07:09,2024-02-26T08:06:49Z,25508,68027,143477,254373,111300,5546,9007,57453,2449,9189,3811,148081,3428,21251,15161,23387,9163,3041
2024-02-26 15:07:08,2024-02-26T09:06:01Z,25538,68081,143919,254964,111520,5554,9015,57527,2450,9198,3819,148341,3434,21287,15225,23432,9172,3046
2024-02-26 16:07:21,2024-02-26T10:06:11Z,25578,68220,144224,255411,111788,5569,9027,57609,2452,9207,3826,148493,3438,21315,15270,23470,8300,2424
2024-02-26 17:07:17,2024-02-26T11:05:35Z,25608,68304,144326,255688,111920,5579,9120,57718,2453,9219,3830,148649,3439,21347,15288,23497,8315,2428
2024-02-26 18:07:10,2024-02-26T12:07:54Z,25611,68322,144371,255715,111946,5579,9120,57720,2453,9222,3832,148664,3439,21355,15293,23498,8316,2428
2024-02-26 19:07:11,2024-02-26T13:05:51Z,25621,68352,144537,255790,111990,5583,9230,57724,2455,9226,3833,148693,3439,21360,15298,23498,8319,2428
2024-02-26 20:07:14,2024-02-26T14:06:04Z,25624,68374,144627,255810,111999,5583,9270,57736,2456,9227,3833,148698,3439,21363,15301,23517,8320,2428
2024-02-26 21:07:14,2024-02-26T15:06:08Z,25625,68381,144599,255830,112031,5583,9271,57732,2456,9230,3834,148730,3440,21362,15349,23504,8318,2428
2024-02-26 22:07:12,2024-02-26T16:06:24Z,25628,68418,144751,255950,112055,5589,9276,57812,2457,9235,3834,148764,3440,21376,15362,23509,8321,3308
2024-02-26 23:07:11,2024-02-26T17:05:57Z,25628,68418,144751,256024,112092,5592,9286,57828,2459,9237,3835,148797,3441,21377,15370,23513,8321,3308
2024-02-27 00:07:11,2024-02-26T18:06:13Z,25628,68418,144751,256024,112092,5592,9391,57828,2459,9237,3835,148797,3441,21377,15370,23513,8321,3308
2024-02-27 01:07:08,2024-02-26T19:05:55Z,25628,68418,144751,256024,112092,5592,9391,57828,2459,9237,3835,148797,3441,21377,15370,23513,8321,3308
2024-02-27 02:07:09,2024-02-26T20:06:02Z,25641,68428,144770,256077,112128,5593,9392,57830,2459,9237,3837,148868,3441,21380,15370,23520,8329,3308
