ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,1701999,1411742,3542707,1685018,839446,53172,94571,880504,15404,84411,27010,727100,17207,831317,339908,101682,546017,54573
2024-02-25 23:07:04,2024-02-25T17:05:52Z,1702407,1411969,3543386,1685229,839578,53175,94585,880667,15408,84412,27014,727189,17209,831368,340232,101700,546038,54579
2024-02-26 00:07:05,2024-02-25T18:05:47Z,1702532,1412121,3543737,1685394,839653,53179,94588,880747,15409,84412,27017,727247,17211,831377,340961,101713,546050,54579
2024-02-26 01:07:03,2024-02-25T19:05:50Z,1702558,1412167,3543943,1685432,839762,53182,94589,880800,15409,84412,27018,727271,17211,831385,341663,101718,546058,54580
2024-02-26 02:07:02,2024-02-25T20:05:34Z,1702577,1412193,3543953,1685435,839803,53184,94589,880806,15409,84412,27018,727283,17211,831386,341707,101720,546078,54581
2024-02-26 03:07:03,2024-02-25T21:05:35Z,1702594,1412242,3544108,1685450,839857,53185,94602,880810,15409,84413,27018,727324,17212,831387,341773,101727,546083,54581
2024-02-26 04:07:29,2024-02-25T22:05:44Z,1702634,1412254,3544215,1685476,839847,53186,94603,880836,15409,84409,27019,727369,17212,831368,341850,101728,546129,54581
2024-02-26 05:07:04,2024-02-25T23:05:52Z,1702647,1412265,3544230,1685484,839863,53186,94603,880838,15409,84414,27020,727370,17213,831389,342295,101729,546140,54581
2024-02-26 06:07:03,2024-02-26T00:21:11Z,1702692,1412277,3544284,1685491,839867,53186,94603,880882,15409,84414,27020,727371,17213,831389,342300,101729,546143,54589
2024-02-26 07:07:03,2024-02-26T01:27:16Z,1702692,1412277,3544284,1685491,839867,53186,94603,880882,15409,84414,27020,727371,17213,831389,342300,101729,546143,54589
2024-02-26 08:07:03,2024-02-26T02:12:19Z,1702692,1412277,3544284,1685491,839867,53186,94603,880882,15409,84414,27020,727371,17213,831389,342300,101729,546143,54589
2024-02-26 09:07:03,2024-02-26T03:06:26Z,1702695,1412305,3544337,1685510,839867,53187,94604,880935,15411,84414,27020,727410,17213,831402,342300,101729,546143,54589
2024-02-26 10:07:15,2024-02-26T04:06:03Z,1702823,1412342,3544527,1685720,839915,53190,94606,880978,15411,84538,27023,727520,17215,831477,342354,101745,546251,54591
2024-02-26 11:07:10,2024-02-26T05:06:08Z,1703292,1412775,3545320,1686044,840095,53205,94742,881136,15510,84665,27037,727957,17221,831703,342485,101771,546485,54600
2024-02-26 12:07:11,2024-02-26T06:06:48Z,1703964,1412948,3546024,1686613,840217,53220,94765,881274,15512,84968,27041,728019,17223,831818,342587,101798,546653,54608
2024-02-26 13:07:16,2024-02-26T07:06:18Z,1703967,1412946,3546068,1686626,840197,53220,94765,881276,15513,84968,27041,728011,17223,831818,342588,101798,546650,54608
2024-02-26 14:07:09,2024-02-26T08:06:49Z,1704038,1412985,3546179,1686653,840226,53223,94764,881282,15513,85029,27042,728038,17224,831808,342725,101797,546712,54611
2024-02-26 15:07:08,2024-02-26T09:06:01Z,1704104,1413014,3546960,1686681,840234,53561,94775,881319,15848,85829,27599,728099,17529,831825,342985,101801,547609,55500
2024-02-26 16:07:21,2024-02-26T10:06:11Z,1704362,1413222,3546958,1686766,840289,53234,94818,881414,15516,85036,27045,728239,17226,831873,342916,101806,546778,54631
2024-02-26 17:07:17,2024-02-26T11:05:35Z,1707102,1415340,3551292,1689020,841418,53282,94887,882900,15528,85080,27070,729384,17250,832512,343502,101964,547657,54753
2024-02-26 18:07:10,2024-02-26T12:07:54Z,1709263,1417021,3556285,1691236,842139,53343,95623,884203,15549,85177,27112,730417,17337,833373,344157,102135,548340,54850
2024-02-26 19:07:11,2024-02-26T13:05:51Z,1709981,1417597,3557656,1691646,842367,53356,96585,884508,15559,85188,27122,730697,17348,833689,344297,102163,548450,55680
2024-02-26 20:07:14,2024-02-26T14:06:04Z,1710255,1417849,3558250,1691926,842591,53363,97080,884614,15560,85204,27129,730779,17352,833815,344393,102180,548521,55685
2024-02-26 21:07:14,2024-02-26T15:06:08Z,1710804,1418488,3559503,1692330,842775,53271,97391,885074,15551,85116,27052,731202,17253,833818,345185,102122,548616,54908
2024-02-26 22:07:12,2024-02-26T16:06:24Z,1710743,1418603,3560212,1692101,842709,53285,98016,885887,15544,85118,27353,731422,18053,833622,347425,102148,548713,54942
2024-02-26 23:07:11,2024-02-26T17:05:57Z,1711335,1418997,3560920,1693102,842970,53268,98222,885968,15534,85115,27356,731457,18058,834054,349831,102173,548820,54952
2024-02-27 00:07:11,2024-02-26T18:06:13Z,1711344,1419011,3560820,1692989,842924,53267,98592,885969,15534,85122,27356,731485,18059,834077,350889,102169,548798,54952
2024-02-27 01:07:08,2024-02-26T19:05:55Z,1711286,1419044,3561033,1692978,842910,53263,98593,885979,15535,85120,27357,731496,18060,833993,351832,102176,548791,54953
2024-02-27 02:07:09,2024-02-26T20:06:02Z,1711339,1419061,3561052,1693016,842923,53263,98593,885980,15535,85120,27357,731507,18060,834058,352481,102177,548793,54953
2024-02-27 03:07:06,2024-02-26T21:06:03Z,1711339,1419061,3561052,1693016,842923,53263,98593,885980,15535,85120,27357,731507,18060,834058,352940,102177,548793,54953
2024-02-27 04:07:09,2024-02-26T22:06:49Z,1711339,1419061,3561052,1693016,842923,53263,98593,885980,15535,85120,27357,731507,18060,834058,352940,102177,548793,54953
