ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,2631442,1942413,2269089,1885885,1096990,76026,102787,683306,22086,65640,35870,798251,29446,948110,437607,149572,580393,48930
2024-02-25 23:07:04,2024-02-25T17:05:52Z,2631710,1942748,2270154,1886329,1097070,76033,102798,683529,22528,65649,36380,798511,29450,948466,437693,149616,580416,49019
2024-02-26 00:07:05,2024-02-25T18:05:47Z,2631891,1942967,2270607,1886496,1097205,76033,102819,683658,22538,65652,36381,798581,29452,948649,438444,149658,580423,49025
2024-02-26 01:07:03,2024-02-25T19:05:50Z,2632267,1943500,2270984,1886653,1097375,76041,102843,683711,22538,65655,36389,798731,29453,948952,438849,149664,580447,49033
2024-02-26 02:07:02,2024-02-25T20:05:34Z,2632343,1943630,2271084,1886674,1097485,76046,102879,683816,22540,65657,36390,798804,29455,948979,439308,149693,580449,49039
2024-02-26 03:07:03,2024-02-25T21:05:35Z,2632467,1943732,2271182,1886824,1097576,76047,102882,683828,22540,65659,36392,798830,29502,949074,439382,149695,580453,49039
2024-02-26 04:07:29,2024-02-25T22:05:44Z,2632467,1943732,2271182,1886824,1097576,76047,103127,683828,22540,65659,36392,798830,29502,949074,439647,149695,580453,49039
2024-02-26 05:07:04,2024-02-25T23:05:52Z,2632467,1943732,2271182,1886824,1097576,76047,103438,683828,22540,65659,36392,798830,29502,949074,439710,149695,580453,49039
2024-02-26 06:07:03,2024-02-26T00:21:11Z,2632509,1943787,2271236,1886896,1097616,76047,103442,683865,22540,65659,36392,798843,29502,949082,439933,149698,580458,49039
2024-02-26 07:07:03,2024-02-26T01:27:16Z,2632576,1943815,2271256,1886901,1097654,76047,103444,683882,22541,65659,36392,798843,29502,949085,439933,149698,580462,49039
2024-02-26 08:07:03,2024-02-26T02:12:19Z,2632601,1943857,2271295,1886912,1097662,76051,103504,683914,22544,65660,36392,798882,29502,949103,439978,149703,580465,49039
2024-02-26 09:07:03,2024-02-26T03:06:26Z,2632742,1943822,2271383,1886876,1097687,76058,103505,683920,22105,65659,35889,798771,29502,949127,439986,149627,580515,48964
2024-02-26 10:07:15,2024-02-26T04:06:03Z,2633083,1944376,2271834,1887341,1097883,76071,103515,684133,22113,65662,35892,798853,29503,949313,440161,149668,580655,48969
2024-02-26 11:07:10,2024-02-26T05:06:08Z,2634013,1945505,2273042,1888280,1098328,76108,103546,684518,22125,65705,35912,799447,29530,949641,440614,149810,580784,49843
2024-02-26 12:07:11,2024-02-26T06:06:48Z,2634717,1946553,2274619,1889417,1098805,76139,103589,684831,22146,65721,35926,799804,29543,950628,440843,149876,581464,49861
2024-02-26 13:07:16,2024-02-26T07:06:18Z,2635348,1947606,2275320,1889922,1099005,76173,103613,685113,22594,65725,36732,800288,29954,951272,441423,149905,581752,49876
2024-02-26 14:07:09,2024-02-26T08:06:49Z,2635356,1947593,2275779,1889773,1098883,76073,103453,685090,22595,65525,36566,800290,29878,951596,441496,149893,581807,49753
2024-02-26 15:07:08,2024-02-26T09:06:01Z,2635451,1947733,2276163,1890298,1098829,76077,103458,685235,22603,65525,36568,800365,29839,951726,441828,149921,582064,49759
2024-02-26 16:07:21,2024-02-26T10:06:11Z,2636609,1947483,2277166,1890920,1099221,76096,103708,685752,22169,65538,35778,800286,29505,951659,442426,150017,582254,48935
2024-02-26 17:07:17,2024-02-26T11:05:35Z,2640127,1950521,2280910,1893794,1101678,76102,104306,687124,22283,65255,36670,801668,29619,952711,443716,151266,582926,49088
2024-02-26 18:07:10,2024-02-26T12:07:54Z,2646656,1956657,2287966,1898925,1104939,76254,105373,689510,22162,65408,36744,804857,29534,954668,445125,151656,584069,49141
2024-02-26 19:07:11,2024-02-26T13:05:51Z,2649273,1959243,2290480,1900956,1106139,76344,106144,690675,22202,65466,37674,806338,30489,955668,445938,151816,584647,49505
2024-02-26 20:07:14,2024-02-26T14:06:04Z,2649816,1959821,2291896,1902087,1106406,76386,106769,690909,22209,65522,37680,806941,30493,956003,446506,151833,584778,49536
2024-02-26 21:07:14,2024-02-26T15:06:08Z,2653914,1963970,2296472,1905314,1107298,76500,107242,691401,22239,65614,35976,808789,29651,957229,449012,151263,585197,49292
2024-02-26 22:07:12,2024-02-26T16:06:24Z,2656360,1966812,2298630,1908626,1108080,76556,107728,691896,23152,66445,36882,810689,30554,958078,450658,152273,586270,50953
2024-02-26 23:07:11,2024-02-26T17:05:57Z,2657793,1968264,2300448,1910018,1109116,77452,107893,692044,24044,66463,36893,811785,31439,958679,450973,153087,586452,51370
2024-02-27 00:07:11,2024-02-26T18:06:13Z,2659686,1969647,2302986,1910687,1111150,77738,109992,693232,25953,67365,37126,813625,32439,959034,452463,153360,586512,51383
2024-02-27 01:07:08,2024-02-26T19:05:55Z,2660444,1970210,2304160,1911808,1111854,77847,110095,693478,26514,68123,38018,813976,32486,959471,453231,153562,587270,51436
2024-02-27 02:07:09,2024-02-26T20:06:02Z,2661048,1970256,2304447,1911966,1111747,77844,110547,694070,26521,68126,38348,813988,32707,959690,453396,153580,587270,51439
2024-02-27 03:07:06,2024-02-26T21:06:03Z,2661067,1970411,2304775,1912160,1111784,77851,110555,694142,26523,68128,38353,814010,32710,959737,453477,153586,587271,51445
2024-02-27 04:07:09,2024-02-26T22:06:49Z,2661077,1970458,2304861,1912293,1111792,77854,110555,694171,26523,68128,38353,814142,32711,959801,453478,153587,587279,51450
2024-02-27 05:07:07,2024-02-26T23:06:09Z,2661089,1970520,2304897,1912306,1111797,77854,110558,694191,26523,68129,38353,814157,32711,959814,453485,153587,587282,51451
2024-02-27 07:07:06,2024-02-27T00:20:12Z,2661313,1970551,2305183,1912370,1111802,77855,110559,694206,26523,68130,38353,814203,32711,959814,453494,153588,587298,51451
2024-02-27 08:07:07,2024-02-27T01:25:16Z,2661313,1970551,2305273,1912370,1111802,77855,110559,694206,26523,68130,38353,814203,32711,959904,453494,153588,587298,51451
2024-02-27 09:07:08,2024-02-27T02:09:55Z,2656913,1967811,2301178,1908820,1108493,76577,108070,692425,22271,65665,36033,810663,29685,959334,451401,151514,585622,49390
2024-02-27 09:07:08,2024-02-27T03:05:50Z,2656913,1967811,2301178,1908820,1108493,76577,108070,692425,22271,65665,36033,810663,29685,959334,451401,151514,585622,49390
2024-02-27 10:07:09,2024-02-27T04:06:44Z,2656997,1967971,2301845,1909131,1108558,76571,108077,692416,22271,65666,36034,810675,29685,959433,451405,151516,585639,49391
2024-02-27 11:07:10,2024-02-27T05:06:51Z,2657339,1968459,2302538,1909408,1108799,76578,108085,692653,22274,65673,36042,810996,29687,959667,451505,151541,585667,49405
2024-02-27 12:07:10,2024-02-27T06:06:32Z,2657505,1968813,2302965,1909489,1108919,76589,108095,692789,22275,65679,36050,811018,29691,959800,451592,151568,585704,49425
2024-02-27 13:07:10,2024-02-27T07:06:22Z,2658415,1969032,2304655,1910484,1109369,77483,109529,693259,23163,65782,36934,811537,29701,960232,454637,152056,586528,49432
2024-02-27 14:07:11,2024-02-27T08:06:31Z,2658446,1968950,2304953,1910405,1109381,78278,109803,693303,23164,66580,36933,811545,29701,960291,461980,152080,586553,49437
2024-02-27 15:07:21,2024-02-27T09:05:46Z,2657750,1969000,2304238,1909711,1108984,76519,108884,692786,22276,65694,35967,811115,29686,960218,466289,151593,585765,49421
2024-02-27 16:07:17,2024-02-27T10:06:21Z,2657465,1968872,2304225,1909288,1108843,75660,109567,692325,21912,65896,35603,811034,29457,960421,469584,152070,585430,49391
2024-02-27 17:07:19,2024-02-27T11:05:40Z,2657591,1969018,2304562,1909296,1108284,74710,109233,691797,21480,65609,34920,810735,28845,959756,471634,151827,585297,48973
2024-02-27 18:07:11,2024-02-27T12:07:29Z,2657684,1969233,2304910,1909510,1108633,74248,108864,691525,21124,65119,34194,810676,28676,959705,474135,151069,585128,48684
2024-02-27 19:07:12,2024-02-27T13:05:33Z,2657595,1969423,2304938,1909498,1108555,74054,109123,691551,21125,64235,34196,810349,28167,959605,473977,150325,585146,48338
2024-02-27 20:07:12,2024-02-27T14:05:54Z,2655938,1967537,2302934,1908034,1106915,72556,108374,690152,20410,63178,32882,808387,26912,958405,472986,149383,583969,47661
2024-02-27 21:07:21,2024-02-27T15:05:47Z,2656610,1968436,2303828,1908660,1107199,72584,108511,690485,20432,63193,32893,808762,26977,958680,475010,149490,584122,47677
2024-02-27 22:07:15,2024-02-27T16:06:04Z,2658076,1970300,2305969,1909795,1107981,72651,108574,691155,20448,63221,32908,809624,26997,959291,477027,149720,584358,47721
2024-02-27 23:07:11,2024-02-27T17:06:35Z,2658449,1970816,2306733,1910376,1108310,72674,108595,691362,20460,63242,32923,809752,27003,959545,478419,149837,584465,47747
2024-02-28 00:07:10,2024-02-27T18:06:47Z,2658582,1970953,2306945,1910558,1108332,72678,108601,691432,20461,63242,32925,809839,27005,959691,478458,149851,584488,47750
2024-02-28 01:07:10,2024-02-27T19:05:48Z,2658708,1970995,2307032,1910708,1108339,72680,108605,691458,20461,63242,32925,809881,27006,959693,478460,149851,584502,47752
2024-02-28 02:07:11,2024-02-27T20:06:06Z,2658751,1971074,2307140,1910737,1108358,72687,108607,691501,20463,63244,32932,809940,27006,959759,478517,149859,584512,47752
2024-02-28 03:07:08,2024-02-27T21:05:30Z,2658751,1971074,2307140,1910737,1108358,72687,108607,691501,20463,63244,32932,809940,27006,959759,478517,149859,584512,47752
2024-02-28 04:07:09,2024-02-27T22:05:59Z,2658751,1971074,2307140,1910737,1108358,72687,108607,691501,20463,63244,32932,809940,27006,959759,478517,149859,584512,47752
2024-02-28 05:07:10,2024-02-27T23:05:55Z,2658751,1971074,2307140,1910737,1108358,72687,108607,691501,20463,63244,32932,809940,27006,959759,478517,149859,584512,47752
2024-02-28 06:07:10,2024-02-28T00:19:26Z,2658751,1971074,2307140,1910737,1108358,72687,108607,691501,20463,63244,32932,809940,27006,959759,478517,149859,584512,47752
2024-02-28 07:07:11,2024-02-28T01:25:48Z,2658751,1971074,2307140,1910737,1108358,72687,108607,691501,20463,63244,32932,809940,27006,959759,478517,149859,584512,47752
2024-02-28 08:07:09,2024-02-28T02:10:45Z,2658751,1971074,2307140,1910737,1108358,72687,108607,691501,20463,63244,32932,809940,27006,959759,478517,149859,584512,47752
2024-02-28 09:07:34,2024-02-28T03:05:55Z,2658789,1971092,2307164,1910754,1108376,72688,108612,691516,20463,63246,32932,809989,27007,959773,478519,149861,584513,47752
2024-02-28 10:07:12,2024-02-28T04:06:56Z,2659040,1971462,2307581,1910987,1108441,72711,108628,691593,20464,63248,32942,810132,27013,959950,478564,149878,584574,47769
2024-02-28 11:07:13,2024-02-28T05:05:58Z,2659629,1971701,2308127,1911391,1108632,72723,108641,691751,20464,63256,32949,810464,27016,960169,478628,149897,584679,47775
2024-02-28 12:07:12,2024-02-28T06:06:22Z,2659704,1971769,2308224,1911468,1108644,72725,108647,691785,20464,63259,32950,810531,27018,960195,478642,149904,584715,47776
2024-02-28 13:07:12,2024-02-28T07:05:48Z,2659735,1971850,2308408,1911517,1108701,72730,108662,691844,20466,63260,32952,810551,27019,960263,478698,149956,584739,47778
2024-02-28 14:07:14,2024-02-28T08:06:54Z,2659783,1971864,2308413,1911545,1108706,72730,108662,691863,20466,63260,32954,810642,27020,960265,478698,149956,584747,47778
2024-02-28 15:07:13,2024-02-28T09:06:01Z,2659835,1971993,2308526,1911593,1108726,72733,108665,691936,20468,63266,32957,810688,27021,960374,478748,149968,584750,47784
2024-02-28 16:07:13,2024-02-28T10:05:45Z,2659922,1972115,2308809,1911694,1108763,72740,108672,691966,20471,63269,32959,810766,27021,960399,478815,150008,584754,47785
2024-02-28 17:07:12,2024-02-28T11:05:50Z,2659988,1972268,2308914,1911788,1108803,72746,108673,692044,20472,63271,32960,810909,27029,960423,478856,150025,584762,47789
2024-02-28 18:07:22,2024-02-28T12:07:55Z,2660119,1972521,2309137,1911917,1108841,72751,108682,692068,20473,63273,32963,810998,27029,960469,478885,150029,584789,47790
2024-02-28 19:07:13,2024-02-28T13:05:39Z,2660134,1972521,2309177,1911917,1108871,72751,108682,692068,20473,63273,32963,811047,27029,960475,478885,150029,584789,47790
2024-02-28 20:07:12,2024-02-28T14:05:39Z,2660219,1972654,2309375,1911943,1108879,72755,108683,692087,20473,63274,32965,811060,27029,960512,479008,150065,584793,47794
2024-02-28 21:07:12,2024-02-28T15:06:06Z,2660245,1972734,2309490,1911958,1108931,72757,108689,692122,20473,63274,32965,811073,27030,960537,479022,150072,584794,47794
2024-02-28 22:07:13,2024-02-28T16:06:02Z,2660314,1972925,2309605,1911998,1108964,72768,108684,692229,20473,63278,32965,811300,27032,960583,480056,150077,584831,47846
2024-02-28 23:07:14,2024-02-28T17:05:52Z,2660265,1972917,2309519,1911909,1108905,72771,108690,692200,20472,63275,32964,811286,27033,960539,487690,150100,584820,47846
2024-02-29 00:07:31,2024-02-28T18:05:57Z,2660141,1972712,2309222,1911788,1108818,72767,108679,692249,20472,63276,32964,811252,27028,960527,498834,150082,584822,47846
2024-02-29 01:07:10,2024-02-28T19:05:41Z,2660081,1972609,2309325,1911773,1108790,72767,108683,692151,20470,63273,32963,811148,27030,960467,508057,150076,584835,47847
2024-02-29 02:07:13,2024-02-28T20:06:20Z,2660223,1972893,2309395,1911727,1108791,72769,108687,692146,20471,63272,32961,811213,27031,960478,517259,150081,584812,47850
2024-02-29 03:07:37,2024-02-28T21:05:56Z,2660266,1972904,2309525,1911756,1108877,72770,108688,692174,20471,63274,32963,811223,27031,960500,519578,150111,584820,47852
2024-02-29 04:07:12,2024-02-28T22:05:46Z,2660266,1972904,2309525,1911756,1108877,72770,108688,692174,20471,63274,32963,811223,27031,960500,521337,150111,584820,47852
2024-02-29 05:07:12,2024-02-28T23:06:34Z,2660266,1972912,2309604,1911757,1108877,72773,108688,692177,20471,63274,32964,811226,27031,960506,521394,150149,584820,47852
2024-02-29 06:07:13,2024-02-29T00:20:10Z,2660266,1972912,2309604,1911757,1108877,72773,108688,692177,20471,63274,32964,811226,27031,960506,521832,150149,584820,47852
2024-02-29 07:07:11,2024-02-29T01:25:39Z,2660266,1972912,2309604,1911757,1108877,72773,108688,692177,20471,63274,32964,811226,27031,960506,522264,150149,584820,47852
