ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,63123,86903,58389,191139,119523,6312,15374,83696,2232,5309,4057,114860,4262,62614,13474,6928,42599,6007
2024-02-25 23:07:04,2024-02-25T17:05:52Z,63123,86903,58389,191139,119523,6312,15374,83696,2232,5309,4057,114860,4262,62614,13522,6928,42599,6007
2024-02-26 00:07:05,2024-02-25T18:05:47Z,63123,86903,58389,191139,119523,6312,15374,83696,2232,5309,4057,114860,4262,62614,13522,6928,42599,6007
2024-02-26 01:07:03,2024-02-25T19:05:50Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13622,6928,42604,6007
2024-02-26 02:07:02,2024-02-25T20:05:34Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13622,6928,42604,6007
2024-02-26 03:07:03,2024-02-25T21:05:35Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13622,6928,42604,6007
2024-02-26 04:07:29,2024-02-25T22:05:44Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13666,6928,42604,6007
2024-02-26 05:07:04,2024-02-25T23:05:52Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13666,6928,42604,6007
2024-02-26 06:07:03,2024-02-26T00:21:11Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13666,6928,42604,6007
2024-02-26 07:07:03,2024-02-26T01:27:16Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13666,6928,42604,6007
2024-02-26 08:07:03,2024-02-26T02:12:19Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13666,6928,42604,6007
2024-02-26 09:07:03,2024-02-26T03:06:26Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13666,6928,42604,6007
2024-02-26 10:07:15,2024-02-26T04:06:03Z,63136,86980,58392,191190,119536,6314,15385,83704,2232,5310,4057,114873,4267,62616,13666,6928,42604,6007
2024-02-26 11:07:10,2024-02-26T05:06:08Z,63148,87018,58422,191248,119568,6314,15386,83723,2232,5310,4058,114925,4267,62617,13667,6931,42604,6008
2024-02-26 12:07:11,2024-02-26T06:06:48Z,63148,87018,58422,191248,119568,6314,15386,83723,2232,5310,4058,114925,4267,62617,13667,6931,42604,6008
2024-02-26 13:07:16,2024-02-26T07:06:18Z,63148,87018,58422,191248,119568,6314,15386,83723,2232,5310,4058,114925,4267,62617,13667,6931,42604,6008
2024-02-26 14:07:09,2024-02-26T08:06:49Z,63175,87025,58424,191327,119583,6314,15386,83737,2232,5310,4058,114937,4269,62618,13667,6933,42607,6008
2024-02-26 15:07:08,2024-02-26T09:06:01Z,63175,87025,58424,191327,119583,6314,15386,83737,2232,5310,4058,114937,4269,62618,13667,6933,42607,6008
2024-02-26 16:07:21,2024-02-26T10:06:11Z,63175,87025,58424,191327,119583,6314,15386,83737,2232,5310,4058,114937,4269,62618,13667,6933,42607,6008
