ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,65320,99083,90206,179409,65364,4491,16729,43553,1735,6716,2284,35932,2912,42868,12163,4875,12729,2070
2024-02-25 23:07:04,2024-02-25T17:05:52Z,65530,99216,90252,179625,65516,5297,16738,43595,1740,6781,2284,36006,2916,42953,12170,4877,12824,2074
2024-02-26 00:07:05,2024-02-25T18:05:47Z,65619,99262,90287,179727,65535,5301,16747,43620,1741,6781,2287,36023,2916,42975,12225,4888,12828,2074
2024-02-26 01:07:03,2024-02-25T19:05:50Z,65619,99262,90287,179727,65535,5301,16747,43620,1741,6781,2287,36023,2916,42975,12425,4888,12828,2074
2024-02-26 02:07:02,2024-02-25T20:05:34Z,65620,99308,90312,179754,65538,5301,16748,43620,1741,6781,2288,36035,2916,42980,12426,4888,12828,2074
2024-02-26 03:07:03,2024-02-25T21:05:35Z,65620,99308,90312,179754,65539,5301,16748,43620,1741,6781,2288,36035,2916,42980,12492,4888,12828,2074
2024-02-26 04:07:29,2024-02-25T22:05:44Z,65620,99308,90312,179754,65539,5301,16748,43620,1741,6781,2288,36035,2916,42980,12492,4888,12828,2074
2024-02-26 05:07:04,2024-02-25T23:05:52Z,65627,99406,90355,179799,65542,5303,16748,43620,1741,6781,2288,36049,2916,42986,12496,4888,12828,2074
2024-02-26 06:07:03,2024-02-26T00:21:11Z,65627,99406,90355,179799,65542,5303,16748,43620,1741,6781,2288,36049,2916,42986,12496,4888,12828,2074
2024-02-26 07:07:03,2024-02-26T01:27:16Z,65627,99406,90355,179799,65542,5303,16748,43620,1741,6781,2288,36049,2916,42986,12496,4888,12828,2074
2024-02-26 08:07:03,2024-02-26T02:12:19Z,65627,99406,90355,179799,65542,5303,16748,43620,1741,6781,2288,36049,2916,42986,12496,4888,12828,2074
2024-02-26 09:07:03,2024-02-26T03:06:26Z,65736,99560,90427,179879,65559,4505,16757,43694,1737,6722,2290,36011,2918,43012,12505,4893,12751,2071
