ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,4808,77191,41778,15242,19089,1125,3918,7602,532,4914,860,5081,810,37247,2802,808,5830,223
2024-02-25 23:07:04,2024-02-25T17:05:52Z,4829,77266,41866,15252,19113,1125,3975,7628,532,4923,860,5083,813,37289,2804,808,5833,224
2024-02-26 00:07:05,2024-02-25T18:05:47Z,4829,77266,41866,15252,19113,1125,3975,7628,532,4923,860,5083,813,37289,2804,808,5833,224
2024-02-26 01:07:03,2024-02-25T19:05:50Z,4831,77313,42036,15264,19172,1126,3980,7641,532,4928,861,5086,814,37298,2804,808,5833,224
2024-02-26 02:07:02,2024-02-25T20:05:34Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 03:07:03,2024-02-25T21:05:35Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 04:07:29,2024-02-25T22:05:44Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 05:07:04,2024-02-25T23:05:52Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 06:07:03,2024-02-26T00:21:11Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 07:07:03,2024-02-26T01:27:16Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 08:07:03,2024-02-26T02:12:19Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 09:07:03,2024-02-26T03:06:26Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 10:07:15,2024-02-26T04:06:03Z,4834,77361,42064,15268,19190,1126,3982,7653,532,4932,861,5088,815,37337,2807,808,5834,224
2024-02-26 11:07:10,2024-02-26T05:06:08Z,4838,77438,42091,15278,19214,1126,3988,7659,532,4934,861,5088,815,37352,2810,808,5841,224
2024-02-26 12:07:11,2024-02-26T06:06:48Z,4838,77438,42091,15278,19214,1126,3988,7659,532,4934,861,5088,815,37352,2810,808,5841,224
2024-02-26 13:07:16,2024-02-26T07:06:18Z,4843,77683,42113,15316,19232,1131,4008,7669,532,4936,861,5091,815,37416,2812,808,5845,226
