ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5202,4950,42316,1268
2024-02-25 23:07:04,2024-02-25T17:05:52Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5250,4950,42316,1268
2024-02-26 00:07:05,2024-02-25T18:05:47Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5250,4950,42316,1268
2024-02-26 01:07:03,2024-02-25T19:05:50Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5250,4950,42316,1268
2024-02-26 02:07:02,2024-02-25T20:05:34Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5318,4950,42316,1268
2024-02-26 03:07:03,2024-02-25T21:05:35Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5384,4950,42316,1268
2024-02-26 04:07:29,2024-02-25T22:05:44Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5384,4950,42316,1268
2024-02-26 05:07:04,2024-02-25T23:05:52Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5437,4950,42316,1268
2024-02-26 06:07:03,2024-02-26T00:21:11Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5437,4950,42316,1268
2024-02-26 07:07:03,2024-02-26T01:27:16Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5437,4950,42316,1268
2024-02-26 08:07:03,2024-02-26T02:12:19Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,5437,4950,42316,1268
2024-02-26 09:07:03,2024-02-26T03:06:26Z,21755,102894,106317,73225,47719,3461,4229,18747,870,4369,1667,7477,12396,9880,5869,4950,42302,1266
2024-02-26 10:07:15,2024-02-26T04:06:03Z,21772,102950,106353,73240,47750,3461,4231,18762,870,4372,1667,7480,12401,9883,6415,4950,42316,1268
2024-02-26 11:07:10,2024-02-26T05:06:08Z,21803,103032,106456,73284,47831,3464,4234,18788,870,4377,1669,7502,12421,9907,6423,4953,42366,1269
