ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,37251,49261,37570,67566,42169,2730,3915,28243,687,5146,1261,16810,1492,21642,10151,5562,4235,1988
2024-02-25 23:07:04,2024-02-25T17:05:52Z,37262,49511,37619,67614,42345,2734,3915,28288,688,5146,1261,16817,1493,21653,10161,5564,4242,1991
2024-02-26 00:07:05,2024-02-25T18:05:47Z,37267,49558,37627,67623,42392,2734,3918,28320,689,5146,1261,16819,1494,21659,10165,5564,4243,1992
2024-02-26 01:07:03,2024-02-25T19:05:50Z,37267,49558,37627,67623,42392,2734,3918,28320,689,5146,1261,16819,1494,21659,10202,5564,4243,1992
2024-02-26 02:07:02,2024-02-25T20:05:34Z,37267,49558,37627,67623,42392,2734,3918,28320,689,5146,1261,16819,1494,21659,10202,5564,4243,1992
2024-02-26 03:07:03,2024-02-25T21:05:35Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 04:07:29,2024-02-25T22:05:44Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 05:07:04,2024-02-25T23:05:52Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 06:07:03,2024-02-26T00:21:11Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 07:07:03,2024-02-26T01:27:16Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 08:07:03,2024-02-26T02:12:19Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 09:07:03,2024-02-26T03:06:26Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 10:07:15,2024-02-26T04:06:03Z,37313,49573,37641,67700,42398,2735,3918,28371,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 11:07:10,2024-02-26T05:06:08Z,37314,49714,37652,67701,42458,2735,3918,28375,692,5146,1262,16824,1494,21660,10203,5565,4245,1992
2024-02-26 12:07:11,2024-02-26T06:06:48Z,37323,49746,37685,67749,42496,2736,3921,28410,692,5146,1262,16839,1494,21665,10216,5566,4247,1992
2024-02-26 13:07:16,2024-02-26T07:06:18Z,37323,49896,37686,67750,42524,2736,3921,28412,693,5146,1262,16841,1494,21667,10216,5566,4247,1992
2024-02-26 14:07:09,2024-02-26T08:06:49Z,37329,49949,37689,67753,42557,2737,3923,28480,693,5146,1262,16843,1494,21671,10216,5566,4248,1992
