ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-25 23:07:04,2024-02-25T17:05:52Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 00:07:05,2024-02-25T18:05:47Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 01:07:03,2024-02-25T19:05:50Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 02:07:02,2024-02-25T20:05:34Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 03:07:03,2024-02-25T21:05:35Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 04:07:29,2024-02-25T22:05:44Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 05:07:04,2024-02-25T23:05:52Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 06:07:03,2024-02-26T00:21:11Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 07:07:03,2024-02-26T01:27:16Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 08:07:03,2024-02-26T02:12:19Z,27806,26802,61055,57801,31305,3085,7491,16395,4524,4958,5189,31625,3718,15392,8948,7531,5379,2283
2024-02-26 09:07:03,2024-02-26T03:06:26Z,27862,26816,61199,57836,31398,3085,7538,16403,4524,4959,5193,31635,3718,15395,8949,7543,5382,2284
2024-02-26 10:07:15,2024-02-26T04:06:03Z,27862,26816,61199,57836,31398,3085,7538,16403,4524,4959,5193,31635,3718,15395,8949,7543,5382,2284
2024-02-26 11:07:10,2024-02-26T05:06:08Z,27867,26826,61268,57851,31406,3086,7538,16412,4524,4967,5197,31679,3718,15397,8950,7552,5384,2284
2024-02-26 12:07:11,2024-02-26T06:06:48Z,27903,26826,61268,57852,31406,3086,7538,16412,4524,4967,5197,31678,3718,15397,8950,7552,5384,2284
2024-02-26 13:07:16,2024-02-26T07:06:18Z,27925,26855,61292,57954,31411,3086,7494,16419,4524,4976,5200,31678,3720,15411,8952,7557,5384,2285
2024-02-26 14:07:09,2024-02-26T08:06:49Z,27936,26868,61305,58035,31415,3100,7498,16427,4525,4982,5200,31679,3722,15424,8939,7557,5395,2286
2024-02-26 15:07:08,2024-02-26T09:06:01Z,27936,26868,61305,58035,31415,3100,7498,16427,4525,4982,5200,31679,3722,15424,8939,7557,5395,2286
2024-02-26 16:07:21,2024-02-26T10:06:11Z,27998,26873,61322,58096,31415,3107,7502,16444,4525,4982,5200,31681,3723,15429,8940,7557,5401,2286
2024-02-26 17:07:17,2024-02-26T11:05:35Z,28057,26960,61366,58296,31436,3113,7509,16528,4525,4990,5204,31699,3730,15446,8944,7564,5404,2286
2024-02-26 18:07:10,2024-02-26T12:07:54Z,28131,27049,62227,58418,31480,3123,7527,16699,4526,4999,5210,31771,3738,15482,8987,7641,5409,2288
2024-02-26 19:07:11,2024-02-26T13:05:51Z,28173,27068,62329,58458,31495,3125,7531,16713,4527,5000,5214,31795,3738,15491,8988,7642,5411,2288
2024-02-26 20:07:14,2024-02-26T14:06:04Z,28214,27109,62514,58631,31511,3127,7532,16728,4527,5010,5218,31796,3741,15524,8990,7660,5411,2289
2024-02-26 21:07:14,2024-02-26T15:06:08Z,28217,27116,62522,58633,31521,3127,7535,16756,4528,5013,5219,31796,3743,15524,8990,7660,5411,2289
2024-02-26 22:07:12,2024-02-26T16:06:24Z,28224,27120,62640,58638,31523,3127,7535,16759,4529,5015,5220,31817,3743,15526,8998,7672,5411,2289
2024-02-26 23:07:11,2024-02-26T17:05:57Z,28224,27120,62640,58638,31523,3127,7535,16759,4529,5015,5220,31817,3743,15526,8998,7672,5411,2289
2024-02-27 00:07:11,2024-02-26T18:06:13Z,28224,27120,62640,58638,31523,3127,7535,16759,4529,5015,5220,31817,3743,15526,8998,7672,5411,2289
2024-02-27 01:07:08,2024-02-26T19:05:55Z,28224,27120,62640,58638,31523,3127,7535,16759,4529,5015,5220,31817,3743,15526,8998,7672,5411,2289
2024-02-27 02:07:09,2024-02-26T20:06:02Z,28224,27120,62640,58638,31523,3127,7535,16759,4529,5015,5220,31817,3743,15526,8998,7672,5411,2289
2024-02-27 03:07:06,2024-02-26T21:06:03Z,28224,27120,62640,58638,31523,3127,7535,16759,4529,5015,5220,31817,3743,15526,8998,7672,5411,2289
2024-02-27 04:07:09,2024-02-26T22:06:49Z,28224,27120,62640,58638,31523,3127,7535,16759,4529,5015,5220,31817,3743,15526,8998,7672,5411,2289
