ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,195484,263140,111653,155260,139915,14217,71743,181776,7304,20335,11977,145794,18975,121404,36669,130210,106889,5725
2024-02-25 23:07:04,2024-02-25T17:05:52Z,195590,263257,111778,155370,139985,14227,71753,181930,7312,20341,11980,145894,18977,121485,37030,130317,106920,5730
2024-02-26 00:07:05,2024-02-25T18:05:47Z,195613,263278,111809,155372,139991,14229,71754,182014,7312,20341,11980,145896,18977,121491,37505,130331,106923,5731
2024-02-26 01:07:03,2024-02-25T19:05:50Z,195626,263301,111865,155376,139993,14235,71756,182030,7313,20345,11986,145929,18978,121493,37616,130386,106923,5732
2024-02-26 02:07:02,2024-02-25T20:05:34Z,195583,263276,111863,155372,139981,14235,71753,182023,7313,20341,11984,145918,18975,121492,38067,130370,106860,5731
2024-02-26 03:07:03,2024-02-25T21:05:35Z,195626,263301,111865,155376,139993,14235,71756,182030,7313,20345,11986,145929,18978,121493,38203,130386,106923,5732
2024-02-26 04:07:29,2024-02-25T22:05:44Z,195620,263287,111858,155336,139985,14235,71753,182013,7312,20345,11986,145917,18969,121482,38304,130371,106916,5732
2024-02-26 05:07:04,2024-02-25T23:05:52Z,195620,263287,111858,155336,139985,14235,71753,182013,7312,20345,11986,145917,18969,121482,38304,130371,106916,5732
2024-02-26 06:07:03,2024-02-26T00:21:11Z,195620,263287,111858,155336,139985,14235,71753,182013,7312,20345,11986,145917,18969,121482,38304,130371,106916,5732
2024-02-26 07:07:03,2024-02-26T01:27:16Z,195676,263367,111894,155443,139997,14240,71777,182137,7314,20349,11993,146020,18971,121534,38307,130381,106949,5732
2024-02-26 08:07:03,2024-02-26T02:12:19Z,195676,263367,111894,155443,139997,14240,71777,182137,7314,20349,11993,146020,18971,121534,38307,130381,106949,5732
2024-02-26 09:07:03,2024-02-26T03:06:26Z,195697,263441,111896,155485,140809,14242,71780,182145,7577,20353,11995,146108,19057,121539,38309,130382,106994,5732
2024-02-26 10:07:15,2024-02-26T04:06:03Z,195746,263585,111964,155601,140841,14256,71782,182173,7579,20379,11997,146164,19068,121588,38317,130574,107043,5735
2024-02-26 11:07:10,2024-02-26T05:06:08Z,196007,264180,112296,155873,140972,14311,71871,182464,7595,20442,12022,146258,19096,121758,38322,130979,107325,5747
2024-02-26 12:07:11,2024-02-26T06:06:48Z,196103,264278,112321,156030,141054,14315,71883,182735,7598,20446,12024,146417,19103,121812,38224,131073,107316,5749
2024-02-26 13:07:16,2024-02-26T07:06:18Z,196183,264439,112391,156094,141144,14337,71909,182814,7604,20465,12035,146541,19123,121887,38309,131135,107481,5753
2024-02-26 14:07:09,2024-02-26T08:06:49Z,196381,264574,112429,156272,141256,14347,71934,182884,7609,20482,12929,146593,19929,121947,38570,131212,107635,5757
2024-02-26 15:07:08,2024-02-26T09:06:01Z,196440,264754,112490,156428,141314,14361,71943,182904,7618,20518,12932,146628,19943,122843,38611,131268,107665,5758
2024-02-26 16:07:21,2024-02-26T10:06:11Z,196477,264853,112798,156344,140457,14356,71940,183001,7378,20533,12046,146560,19050,122049,39064,131339,107508,5760
2024-02-26 17:07:17,2024-02-26T11:05:35Z,196565,265042,112851,156449,140630,14435,72056,183168,7886,20536,12055,146753,19058,122091,39234,131409,107615,5763
2024-02-26 18:07:10,2024-02-26T12:07:54Z,197193,265657,112903,156660,140930,14453,72526,183337,7896,20579,11996,146906,19061,122280,39400,131542,107902,5778
2024-02-26 19:07:11,2024-02-26T13:05:51Z,197300,265904,112977,156864,141017,14478,72899,183619,7902,20587,12011,146975,19079,122394,39605,131692,108020,5789
2024-02-26 20:07:14,2024-02-26T14:06:04Z,197411,266784,113014,157026,141112,14491,72909,183665,8312,20593,12017,147006,19088,122481,39607,131740,108090,5792
2024-02-26 21:07:14,2024-02-26T15:06:08Z,197089,266432,113167,157394,141103,14435,72904,183847,7454,20606,12030,147102,19429,122545,40011,131852,108185,5801
2024-02-26 22:07:12,2024-02-26T16:06:24Z,197152,266508,113192,157544,141131,14445,72910,183888,7456,20610,12034,147111,19433,122597,40130,131928,108244,5803
2024-02-26 23:07:11,2024-02-26T17:05:57Z,197251,266618,113233,157647,141166,14461,72945,183933,7460,20618,12040,147149,19460,122638,40138,132023,108330,5806
2024-02-27 00:07:11,2024-02-26T18:06:13Z,198179,266642,114059,157659,141180,14461,72988,183967,7468,21504,12041,147166,20013,122651,40147,132739,109224,6594
2024-02-27 01:07:08,2024-02-26T19:05:55Z,198179,266642,114059,157659,141180,14461,73062,183967,7468,21504,12041,147166,20013,122651,40147,132739,109224,6594
2024-02-27 02:07:09,2024-02-26T20:06:02Z,198179,266642,114059,157659,141180,14461,73209,183967,7468,21504,12041,147166,20013,122651,40147,132739,109224,6594
2024-02-27 03:07:06,2024-02-26T21:06:03Z,198179,266642,114059,157659,141180,14461,73209,183967,7468,21504,12041,147166,20013,122651,40147,132739,109224,6594
