ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,109024,119050,186516,151141,127430,11246,9852,20981,6806,32505,8223,90172,3922,135419,49509,35764,22447,2623
2024-02-25 23:07:04,2024-02-25T17:05:52Z,109074,119174,186709,151280,127508,11251,9854,20998,6807,32516,8225,90208,3922,135566,49532,35821,22454,2623
2024-02-26 00:07:05,2024-02-25T18:05:47Z,109128,119205,186819,151371,127545,11253,9855,21009,6812,32527,8226,90227,3922,135647,49561,35826,22454,2625
2024-02-26 01:07:03,2024-02-25T19:05:50Z,109110,119177,186816,151367,127539,11253,9854,21009,6811,32527,8225,90168,3922,135618,49659,35825,22454,2625
2024-02-26 02:07:02,2024-02-25T20:05:34Z,109110,119177,186816,151367,127539,11253,9854,21009,6811,32527,8225,90168,3922,135618,49734,35825,22454,2625
2024-02-26 03:07:03,2024-02-25T21:05:35Z,109110,119177,186816,151367,127539,11253,9854,21009,6811,32527,8225,90168,3922,135618,49734,35825,22454,2625
2024-02-26 04:07:29,2024-02-25T22:05:44Z,109110,119177,186816,151367,127539,11253,9854,21009,6811,32527,8225,90168,3922,135618,49734,35825,22454,2625
2024-02-26 05:07:04,2024-02-25T23:05:52Z,109110,119177,186816,151367,127539,11253,9854,21009,6811,32527,8225,90168,3922,135618,49734,35825,22454,2625
2024-02-26 06:07:03,2024-02-26T00:21:11Z,109110,119177,186816,151367,127539,11253,9854,21009,6811,32527,8225,90168,3922,135618,49734,35825,22454,2625
2024-02-26 07:07:03,2024-02-26T01:27:16Z,109110,119177,186816,151367,127539,11253,9854,21009,6811,32527,8225,90168,3922,135618,49734,35825,22454,2625
2024-02-26 08:07:03,2024-02-26T02:12:19Z,109129,119235,186830,151382,127542,11253,9854,21009,6811,32527,8228,90258,3922,135623,49746,35825,22454,2625
2024-02-26 09:07:03,2024-02-26T03:06:26Z,109136,119257,186867,151414,127571,11253,9855,21009,6813,32528,8231,90268,3922,135634,49767,35831,22454,2626
2024-02-26 10:07:15,2024-02-26T04:06:03Z,109174,119283,186883,151435,127580,11254,9859,21027,6814,32530,8231,90280,3922,135645,49780,35834,22466,2627
2024-02-26 11:07:10,2024-02-26T05:06:08Z,109260,119382,187021,151459,127742,11260,9861,21243,6820,32575,8239,90323,3927,135854,49815,35846,22472,2636
2024-02-26 12:07:11,2024-02-26T06:06:48Z,109332,119542,187353,152511,127929,11362,9871,21259,7634,32667,8242,91287,3945,137073,50743,36752,22472,2637
2024-02-26 13:07:16,2024-02-26T07:06:18Z,111963,121616,187743,154449,129752,13135,10353,21773,8519,32688,10024,92133,4838,138991,53387,39457,24226,5212
