ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2059,2055,804,657
2024-02-25 23:07:04,2024-02-25T17:05:52Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2059,2055,804,657
2024-02-26 00:07:05,2024-02-25T18:05:47Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2133,2055,804,657
2024-02-26 01:07:03,2024-02-25T19:05:50Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 02:07:02,2024-02-25T20:05:34Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 03:07:03,2024-02-25T21:05:35Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 04:07:29,2024-02-25T22:05:44Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 05:07:04,2024-02-25T23:05:52Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 06:07:03,2024-02-26T00:21:11Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 07:07:03,2024-02-26T01:27:16Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 08:07:03,2024-02-26T02:12:19Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 09:07:03,2024-02-26T03:06:26Z,1680,5021,13440,5445,10325,561,1164,2110,1024,2520,505,3807,423,3158,2171,2055,804,657
2024-02-26 10:07:15,2024-02-26T04:06:03Z,1680,5021,13440,5455,10339,563,1165,2110,1026,2537,506,3808,424,3172,2171,2059,814,657
2024-02-26 11:07:10,2024-02-26T05:06:08Z,1683,5050,13515,5465,10364,566,1166,2110,1027,2544,508,3809,431,3173,2173,2059,815,658
2024-02-26 12:07:11,2024-02-26T06:06:48Z,1691,5096,13677,5483,10404,569,1180,2118,1039,2550,518,3825,431,3186,2184,2071,818,659
2024-02-26 13:07:16,2024-02-26T07:06:18Z,1698,5105,13729,5492,10410,570,1185,2121,1042,2553,518,3829,431,3190,2188,2075,818,660
2024-02-26 14:07:09,2024-02-26T08:06:49Z,1700,5108,13808,5505,10425,573,1187,2124,1050,2561,522,3831,435,3198,2191,2075,820,661
2024-02-26 15:07:08,2024-02-26T09:06:01Z,1700,5108,13808,5505,10425,573,1187,2124,1050,2561,522,3831,435,3198,2191,2075,820,661
2024-02-26 16:07:21,2024-02-26T10:06:11Z,1700,5108,13808,5505,10425,573,1187,2124,1050,2561,522,3831,435,3198,2191,2075,820,661
2024-02-26 17:07:17,2024-02-26T11:05:35Z,1700,5108,13808,5505,10425,573,1187,2124,1050,2561,522,3831,435,3198,2337,2075,820,661
2024-02-26 18:07:10,2024-02-26T12:07:54Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-26 19:07:11,2024-02-26T13:05:51Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-26 20:07:14,2024-02-26T14:06:04Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-26 21:07:14,2024-02-26T15:06:08Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-26 22:07:12,2024-02-26T16:06:24Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-26 23:07:11,2024-02-26T17:05:57Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 00:07:11,2024-02-26T18:06:13Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 01:07:08,2024-02-26T19:05:55Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 02:07:09,2024-02-26T20:06:02Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 03:07:06,2024-02-26T21:06:03Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 04:07:09,2024-02-26T22:06:49Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 05:07:07,2024-02-26T23:06:09Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 07:07:06,2024-02-27T00:20:12Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 08:07:07,2024-02-27T01:25:16Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 09:07:08,2024-02-27T02:09:55Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 09:07:08,2024-02-27T03:05:50Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 10:07:09,2024-02-27T04:06:44Z,1704,5120,13827,5517,10443,575,1198,2150,1059,2588,528,3876,436,3244,2341,2078,827,663
2024-02-27 11:07:10,2024-02-27T05:06:51Z,1706,5133,13912,5533,10546,575,1208,2150,1060,2605,535,3881,436,3245,2359,2086,827,663
2024-02-27 12:07:10,2024-02-27T06:06:32Z,1706,5133,13912,5533,10546,575,1208,2150,1060,2605,535,3881,436,3245,2359,2086,827,663
2024-02-27 13:07:10,2024-02-27T07:06:22Z,1706,5133,13912,5533,10546,575,1208,2150,1060,2605,535,3881,436,3245,2359,2086,827,663
