ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,39243,58640,94623,65998,107914,2301,7200,16740,1542,4666,2060,78124,1893,70517,3547,11898,10242,1001
2024-02-25 23:07:04,2024-02-25T17:05:52Z,39306,58700,94683,66008,107981,2301,7204,16746,1542,4672,2060,78190,1893,70595,3846,11905,10244,1001
2024-02-26 00:07:05,2024-02-25T18:05:47Z,39358,58780,94783,66084,108073,2307,7215,16782,1544,4674,2063,78244,1893,70626,3878,11917,10249,1003
2024-02-26 01:07:03,2024-02-25T19:05:50Z,39400,58834,94808,66089,108133,2307,7216,16783,1544,4675,2063,78258,1893,70626,3878,11919,10252,1003
2024-02-26 02:07:02,2024-02-25T20:05:34Z,39421,58896,94866,66097,108168,2308,7216,16783,1544,4676,2063,78267,1893,70627,3878,11922,10253,1003
2024-02-26 03:07:03,2024-02-25T21:05:35Z,39427,58925,94894,66105,108176,2308,7219,16791,1544,4676,2063,78306,1893,70649,3878,11925,10253,1003
2024-02-26 04:07:29,2024-02-25T22:05:44Z,39427,58925,94894,66105,108176,2308,7219,16791,1544,4676,2063,78306,1893,70649,3878,11925,10253,1003
2024-02-26 05:07:04,2024-02-25T23:05:52Z,39427,58925,94894,66105,108176,2308,7219,16791,1544,4676,2063,78306,1893,70649,3878,11925,10253,1003
2024-02-26 06:07:03,2024-02-26T00:21:11Z,39427,58925,94894,66105,108176,2308,7219,16791,1544,4676,2063,78306,1893,70649,3878,11925,10253,1003
2024-02-26 07:07:03,2024-02-26T01:27:16Z,39427,58925,94894,66105,108176,2308,7219,16791,1544,4676,2063,78306,1893,70649,3878,11925,10253,1003
2024-02-26 08:07:03,2024-02-26T02:12:19Z,39427,58925,94894,66105,108176,2308,7219,16791,1544,4676,2063,78306,1893,70649,3878,11925,10253,1003
