ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,150794,582415,182207,481948,520777,10735,33884,216357,5313,14001,7927,228233,5602,236908,49588,18106,243850,7625
2024-02-25 23:07:04,2024-02-25T17:05:52Z,150806,582420,182241,481982,520855,10736,33882,216396,5313,14002,7928,228072,5602,236916,49690,18107,243784,7625
2024-02-26 00:07:05,2024-02-25T18:05:47Z,150863,582815,182334,482573,520985,10741,33883,216440,5313,14010,7932,228308,5606,236943,49758,18106,243892,7628
2024-02-26 01:07:03,2024-02-25T19:05:50Z,150938,583184,182347,482758,521036,10744,33889,216566,5313,14012,7935,228629,5608,236973,49760,18108,243986,7629
2024-02-26 02:07:02,2024-02-25T20:05:34Z,150942,583194,182349,482791,521043,10738,33890,216581,5313,14012,7935,228708,5608,236977,49760,18108,244013,7629
2024-02-26 03:07:03,2024-02-25T21:05:35Z,150984,583243,182349,482874,521078,10738,33898,216615,5313,14012,7935,228827,5608,236985,49760,18108,244068,7629
2024-02-26 04:07:29,2024-02-25T22:05:44Z,150955,583258,182345,482842,521055,10738,33899,216596,5313,14012,7935,228941,5607,236986,49755,18086,244057,7627
2024-02-26 05:07:04,2024-02-25T23:05:52Z,150992,583265,182349,482890,521082,10739,33899,216638,5314,14012,7935,228948,5608,236990,49827,18108,244087,7630
2024-02-26 06:07:03,2024-02-26T00:21:11Z,150992,583265,182349,482890,521082,10739,33899,216638,5314,14012,7935,228948,5608,236990,49827,18108,244087,7630
2024-02-26 07:07:03,2024-02-26T01:27:16Z,150992,583265,182349,482890,521082,10739,33899,216638,5314,14012,7935,228948,5608,236990,49827,18108,244087,7630
2024-02-26 08:07:03,2024-02-26T02:12:19Z,150992,583202,182306,482829,521026,10739,33899,216638,5314,14002,7933,228948,5608,236844,49832,18106,244086,7630
2024-02-26 09:07:03,2024-02-26T03:06:26Z,150998,583307,182311,482871,521076,10739,33899,216638,5314,14007,7935,228948,5608,236949,49833,18108,244133,7630
2024-02-26 10:07:15,2024-02-26T04:06:03Z,150974,583190,182304,482870,521036,10739,33899,216637,5314,14004,7935,228948,5608,236903,49833,18108,244132,7629
2024-02-26 11:07:10,2024-02-26T05:06:08Z,150982,583215,182140,482879,521014,10740,33903,216616,5314,14003,7935,228942,5606,236854,49821,18109,244110,7630
2024-02-26 12:07:11,2024-02-26T06:06:48Z,151332,583488,182283,483053,521160,11546,33914,216890,5316,14018,7934,229285,5607,236981,49858,18123,244264,7637
