ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,96422,146824,110552,92404,126596,5303,18784,37515,5856,10009,3845,67147,12735,105241,17138,4276,72874,2574
2024-02-25 23:07:04,2024-02-25T17:05:52Z,96511,146966,110592,92446,126644,5311,18793,37531,5859,10013,3852,67209,12741,105371,17653,4278,72952,2574
2024-02-26 00:07:05,2024-02-25T18:05:47Z,96526,147015,110600,92447,126651,5311,18793,37531,5859,10014,3852,67209,12743,105421,17694,4278,72973,2575
2024-02-26 01:07:03,2024-02-25T19:05:50Z,96601,147100,110684,92458,126720,5314,18795,37539,5860,10018,3853,67211,12746,105652,17695,4279,73013,2577
2024-02-26 02:07:02,2024-02-25T20:05:34Z,96601,147100,110684,92458,126720,5314,18795,37539,5860,10018,3853,67211,12746,105652,17695,4279,73013,2577
2024-02-26 03:07:03,2024-02-25T21:05:35Z,96601,147100,110684,92458,126720,5314,18795,37539,5860,10018,3853,67211,12746,105652,17695,4279,73013,2577
2024-02-26 04:07:29,2024-02-25T22:05:44Z,96601,147100,110684,92458,126720,5314,18795,37539,5860,10018,3853,67211,12746,105652,17695,4279,73013,2577
2024-02-26 05:07:04,2024-02-25T23:05:52Z,96601,147100,110684,92458,126720,5314,18795,37539,5860,10018,3853,67211,12746,105652,17695,4279,73013,2577
2024-02-26 06:07:03,2024-02-26T00:21:11Z,96614,147123,110687,92466,126765,5314,18796,37548,5860,10020,3853,67246,12746,105670,17695,4282,73045,2577
2024-02-26 07:07:03,2024-02-26T01:27:16Z,96614,147123,110687,92466,126765,5314,18796,37548,5860,10020,3853,67246,12746,105670,17695,4282,73045,2577
2024-02-26 08:07:03,2024-02-26T02:12:19Z,96614,147123,110687,92466,126765,5314,18796,37548,5860,10020,3853,67246,12746,105670,17695,4282,73045,2577
