ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,236964,378633,231453,423406,422491,16200,20866,118689,13094,28409,14186,132020,14104,217569,41691,23762,28584,10069
2024-02-25 23:07:04,2024-02-25T17:05:52Z,237083,378794,231530,423557,422732,16204,20872,118746,13094,28418,14190,132148,14105,217658,41791,23770,28597,10074
2024-02-26 00:07:05,2024-02-25T18:05:47Z,237110,378844,231554,423685,422794,16204,20874,118759,13094,28422,14191,132159,14107,217664,41872,23772,28598,10075
2024-02-26 01:07:03,2024-02-25T19:05:50Z,237114,378878,231578,423679,422866,16205,20877,118775,13097,28425,14192,132159,14109,217669,42680,23783,28600,10077
2024-02-26 02:07:02,2024-02-25T20:05:34Z,237114,378878,231578,423679,422866,16205,20877,118775,13097,28425,14192,132159,14109,217669,42736,23783,28600,10077
2024-02-26 03:07:03,2024-02-25T21:05:35Z,237138,378891,231631,423748,422878,16205,20877,118788,13097,28426,14192,132173,14109,217681,42740,23786,28600,10077
2024-02-26 04:07:29,2024-02-25T22:05:44Z,237138,378891,231631,423748,422878,16205,20918,118788,13097,28426,14192,132173,14109,217681,42740,23786,28600,10077
2024-02-26 05:07:04,2024-02-25T23:05:52Z,237138,378891,231631,423748,422878,16205,20918,118788,13097,28426,14192,132173,14109,217681,42740,23786,28600,10077
2024-02-26 06:07:03,2024-02-26T00:21:11Z,237138,378891,231631,423748,422878,16205,20918,118788,13097,28426,14192,132173,14109,217681,42740,23786,28600,10077
2024-02-26 07:07:03,2024-02-26T01:27:16Z,237138,378891,231631,423748,422878,16205,20918,118788,13097,28426,14192,132173,14109,217681,42740,23786,28600,10077
2024-02-26 08:07:03,2024-02-26T02:12:19Z,237138,378891,231631,423748,422878,16205,20918,118788,13097,28426,14192,132173,14109,217681,42740,23786,28600,10077
2024-02-26 09:07:03,2024-02-26T03:06:26Z,237140,378903,231610,423790,422910,16203,20917,118783,13098,28426,14193,132103,14109,217654,42739,23814,28595,10077
2024-02-26 10:07:15,2024-02-26T04:06:03Z,237365,378934,231625,423891,422954,16207,20918,118804,13099,28430,14194,132131,14110,217661,42808,23899,28596,10078
2024-02-26 11:07:10,2024-02-26T05:06:08Z,237665,379640,232044,424280,423409,16225,20937,119056,13101,28438,14199,132183,14122,217962,42874,23921,28619,10087
