ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,120037,261672,389829,536970,300906,9929,16547,144703,2592,22144,5478,113096,6893,151618,26193,58049,28287,8436
2024-02-25 23:07:04,2024-02-25T17:05:52Z,120254,263038,392432,539823,303186,9979,16599,145313,2609,22172,5499,113832,6918,151756,26452,58108,28374,8521
2024-02-26 00:07:05,2024-02-25T18:05:47Z,120251,263053,392464,539921,303203,9981,16598,145344,2611,22172,5499,113884,6918,151758,26453,58111,28374,8521
2024-02-26 01:07:03,2024-02-25T19:05:50Z,120256,263087,392488,539983,303145,9981,16600,145350,2611,22172,5499,113881,6915,151753,26591,58111,28375,8521
2024-02-26 02:07:02,2024-02-25T20:05:34Z,120256,263087,392488,539983,303145,9981,16600,145350,2611,22172,5499,113881,6915,151753,26625,58111,28375,8521
2024-02-26 03:07:03,2024-02-25T21:05:35Z,120256,263087,392488,539983,303145,9981,16600,145350,2611,22172,5499,113881,6915,151753,26625,58111,28375,8521
2024-02-26 04:07:29,2024-02-25T22:05:44Z,120256,263087,392488,539983,303145,9981,16600,145350,2611,22172,5499,113881,6915,151753,26670,58111,28375,8521
2024-02-26 05:07:04,2024-02-25T23:05:52Z,120257,263087,392567,540001,303172,9981,16795,145356,2611,22173,5499,113883,6915,151753,26670,58111,28375,8521
2024-02-26 06:07:03,2024-02-26T00:21:11Z,120257,263087,392567,540001,303172,9981,16795,145356,2611,22173,5499,113883,6915,151753,26799,58111,28375,8521
2024-02-26 07:07:03,2024-02-26T01:27:16Z,120257,263087,392567,540001,303172,9981,16795,145356,2611,22173,5499,113883,6915,151753,26799,58111,28375,8521
2024-02-26 08:07:03,2024-02-26T02:12:19Z,120257,263087,392567,540001,303172,9981,16795,145356,2611,22173,5499,113883,6915,151753,26799,58111,28375,8521
2024-02-26 09:07:03,2024-02-26T03:06:26Z,120257,263087,392567,540001,303172,9981,16795,145356,2611,22173,5499,113883,6915,151753,26799,58111,28375,8521
2024-02-26 10:07:15,2024-02-26T04:06:03Z,120275,263209,392701,540209,303349,9983,16835,145378,2613,22175,5500,113903,6916,151796,26802,58141,28375,8522
